ensembl_id	gene_symbol	type	entrezgene
ENSG00000007923	DNAJC11	gene	55735
ENSG00000171735	CAMTA1	gene	23261
ENSG00000049245	VAMP3	gene	9341
ENSG00000049246	PER3	gene	8863
ENSG00000049247	UTS2	gene	10911
ENSG00000049249	TNFRSF9	gene	3604
ENSG00000116288	PARK7	gene	11315
ENSG00000116285	ERRFI1	gene	54206
ENSG00000162426	SLC45A1	gene	50651
ENSG00000142599	RERE	gene	473
ENSG00000074800	ENO1	gene	2023
ENSG00000131686	CA6	gene	765
ENSG00000197241	SLC2A7	gene	155184
ENSG00000142583	SLC2A5	gene	6518
ENSG00000180758	GPR157	gene	80045
ENSG00000049239	H6PD	gene	9563
ENSG00000171621	SPSB1	gene	80176
ENSG00000171612	SLC25A33	gene	84275
ENSG00000188807	TMEM201	gene	199953
ENSG00000171608	PIK3CD	gene	5293
ENSG00000179840	C1orf200	gene	644997
ENSG00000171603	CLSTN1	gene	22883
ENSG00000178585	CTNNBIP1	gene	56998
ENSG00000162441	LZIC	gene	84328
ENSG00000173614	NMNAT1	gene	64802
ENSG00000162444	RBP7	gene	116362
ENSG00000130939	UBE4B	gene	10277
ENSG00000054523	KIF1B	gene	23095
ENSG00000142657	PGD	gene	5226
ENSG00000175279	APITD1	gene	378708
ENSG00000251503	APITD1-CORT	gene	100526739
ENSG00000241563	CORT	gene	1325
ENSG00000160049	DFFA	gene	1676
ENSG00000142655	PEX14	gene	5195
ENSG00000130940	CASZ1	gene	54897
ENSG00000175262	C1orf127	gene	148345
ENSG00000120948	TARDBP	gene	23435
ENSG00000009724	MASP2	gene	10747
ENSG00000116649	SRM	gene	6723
ENSG00000171824	EXOSC10	gene	5394
ENSG00000198793	MTOR	gene	2475
ENSG00000171819	ANGPTL7	gene	10218
ENSG00000120942	UBIAD1	gene	29914
ENSG00000204624	PTCHD2	gene	57540
ENSG00000116661	FBXO2	gene	26232
ENSG00000132879	FBXO44	gene	93611
ENSG00000116663	FBXO6	gene	26270
ENSG00000116670	MAD2L2	gene	10459
ENSG00000162490	DRAXIN	gene	374946
ENSG00000177674	AGTRAP	gene	57085
ENSG00000215910	C1orf167	gene	284498
ENSG00000177000	MTHFR	gene	4524
ENSG00000011021	CLCN6	gene	1185
ENSG00000175206	NPPA	gene	4878
ENSG00000120937	NPPB	gene	4879
ENSG00000116685	KIAA2013	gene	90231
ENSG00000083444	PLOD1	gene	5351
ENSG00000116688	MFN2	gene	9927
ENSG00000116691	MIIP	gene	60672
ENSG00000120949	TNFRSF8	gene	943
ENSG00000028137	TNFRSF1B	gene	7133
ENSG00000048707	VPS13D	gene	55187
ENSG00000162496	DHRS3	gene	9249
ENSG00000204518	AADACL4	gene	343066
ENSG00000188984	AADACL3	gene	126767
ENSG00000157330	C1orf158	gene	93190
ENSG00000116726	PRAMEF12	gene	390999
ENSG00000116721	PRAMEF1	gene	65121
ENSG00000204513	PRAMEF11	gene	NA
ENSG00000179172	HNRNPCL1	gene	343069
ENSG00000120952	PRAMEF2	gene	65122
ENSG00000243073	PRAMEF4	gene	400735
ENSG00000187545	PRAMEF10	gene	343071
ENSG00000204510	PRAMEF7	gene	441871
ENSG00000232423	PRAMEF6	gene	440561
ENSG00000204508	PRAMEF22	gene	NA
ENSG00000239810	WI2-3308P17.2	gene	440560
ENSG00000229571	PRAMEF26	gene	441873
ENSG00000204503	PRAMEF3	gene	NA
ENSG00000204502	PRAMEF5	gene	NA
ENSG00000182330	PRAMEF8	gene	391002
ENSG00000204501	PRAMEF9	gene	653619
ENSG00000204495	PRAMEF13	gene	NA
ENSG00000204491	PRAMEF18	gene	NA
ENSG00000204488	PRAMEF16	gene	NA
ENSG00000204486	PRAMEF21	gene	NA
ENSG00000157358	PRAMEF15	gene	NA
ENSG00000204481	PRAMEF14	gene	729528
ENSG00000204480	PRAMEF19	gene	645414
ENSG00000204479	PRAMEF17	gene	391004
ENSG00000204478	PRAMEF20	gene	645425
ENSG00000162494	LRRC38	gene	126755
ENSG00000162493	PDPN	gene	10630
ENSG00000116731	PRDM2	gene	7799
ENSG00000189337	KAZN	gene	23254
ENSG00000171729	TMEM51	gene	55092
ENSG00000204464	C1orf195	gene	NA
ENSG00000142621	FHAD1	gene	114827
ENSG00000142634	EFHD2	gene	79180
ENSG00000162438	CTRC	gene	11330
ENSG00000142615	CELA2A	gene	63036
ENSG00000215704	CELA2B	gene	51032
ENSG00000132906	CASP9	gene	842
ENSG00000116138	DNAJC16	gene	23341
ENSG00000116771	AGMAT	gene	79814
ENSG00000197312	DDI2	gene	84301
ENSG00000215695	RSC1A1	gene	6248
ENSG00000116786	PLEKHM2	gene	23207
ENSG00000162461	SLC25A34	gene	284723
ENSG00000162460	TMEM82	gene	388595
ENSG00000162458	FBLIM1	gene	54751
ENSG00000065526	SPEN	gene	23013
ENSG00000116809	ZBTB17	gene	7709
ENSG00000183888	C1orf64	gene	149563
ENSG00000173641	HSPB7	gene	27129
ENSG00000186510	CLCNKA	gene	1187
ENSG00000184908	CLCNKB	gene	1188
ENSG00000185519	FAM131C	gene	348487
ENSG00000142627	EPHA2	gene	1969
ENSG00000142632	ARHGEF19	gene	128272
ENSG00000204377	C1orf134	gene	NA
ENSG00000132881	RSG1	gene	79363
ENSG00000037637	FBXO42	gene	54455
ENSG00000055070	SZRD1	gene	26099
ENSG00000187144	SPATA21	gene	374955
ENSG00000157191	NECAP2	gene	55707
ENSG00000268674	AL355149.2	gene	NA
ENSG00000219481	NBPF1	gene	55672
ENSG00000237847	AL137798.1	gene	NA
ENSG00000268991	AL021920.2	gene	NA
ENSG00000058453	CROCC	gene	9696
ENSG00000117122	MFAP2	gene	4237
ENSG00000159363	ATP13A2	gene	23400
ENSG00000117118	SDHB	gene	6390
ENSG00000117115	PADI2	gene	11240
ENSG00000142623	PADI1	gene	29943
ENSG00000142619	PADI3	gene	51702
ENSG00000159339	PADI4	gene	23569
ENSG00000269468	AC004824.2	gene	NA
ENSG00000179051	RCC2	gene	55920
ENSG00000074964	ARHGEF10L	gene	55160
ENSG00000117148	ACTL8	gene	81569
ENSG00000117154	IGSF21	gene	84966
ENSG00000179023	KLHDC7A	gene	127707
ENSG00000009709	PAX7	gene	5081
ENSG00000179002	TAS1R2	gene	80834
ENSG00000159423	ALDH4A1	gene	8659
ENSG00000169991	IFFO2	gene	126917
ENSG00000127481	UBR4	gene	23352
ENSG00000127463	EMC1	gene	23065
ENSG00000053372	MRTO4	gene	51154
ENSG00000211454	AKR7L	gene	246181
ENSG00000162482	AKR7A3	gene	22977
ENSG00000053371	AKR7A2	gene	8574
ENSG00000040487	PQLC2	gene	54896
ENSG00000077549	CAPZB	gene	832
ENSG00000270136	MINOS1-NBL1	gene	NA
ENSG00000173436	MINOS1	gene	440574
ENSG00000158747	NBL1	gene	4681
ENSG00000158748	HTR6	gene	3362
ENSG00000162542	TMCO4	gene	255104
ENSG00000178828	RNF186	gene	54546
ENSG00000169914	OTUD3	gene	23252
ENSG00000188784	PLA2G2E	gene	30814
ENSG00000188257	PLA2G2A	gene	5320
ENSG00000127472	PLA2G5	gene	5322
ENSG00000117215	PLA2G2D	gene	26279
ENSG00000158786	PLA2G2F	gene	64600
ENSG00000187980	PLA2G2C	gene	391013
ENSG00000162543	UBXN10	gene	127733
ENSG00000158816	VWA5B1	gene	127731
ENSG00000162545	CAMK2N1	gene	55450
ENSG00000090432	MUL1	gene	79594
ENSG00000183114	FAM43B	gene	163933
ENSG00000158825	CDA	gene	978
ENSG00000158828	PINK1	gene	65018
ENSG00000244038	DDOST	gene	1650
ENSG00000117245	KIF17	gene	57576
ENSG00000189410	SH2D5	gene	400745
ENSG00000127483	HP1BP3	gene	50809
ENSG00000075151	EIF4G3	gene	8672
ENSG00000117298	ECE1	gene	1889
ENSG00000142794	NBPF3	gene	84224
ENSG00000162551	ALPL	gene	249
ENSG00000076864	RAP1GAP	gene	5909
ENSG00000090686	USP48	gene	84196
ENSG00000187942	LDLRAD2	gene	401944
ENSG00000142798	HSPG2	gene	3339
ENSG00000219073	CELA3B	gene	23436
ENSG00000142789	CELA3A	gene	10136
ENSG00000070831	CDC42	gene	998
ENSG00000162552	WNT4	gene	54361
ENSG00000184677	ZBTB40	gene	9923
ENSG00000070886	EPHA8	gene	2046
ENSG00000173372	C1QA	gene	712
ENSG00000159189	C1QC	gene	714
ENSG00000173369	C1QB	gene	713
ENSG00000133216	EPHB2	gene	2048
ENSG00000215906	LACTBL1	gene	646262
ENSG00000227868	C1orf234	gene	729059
ENSG00000004487	KDM1A	gene	23028
ENSG00000169641	LUZP1	gene	7798
ENSG00000179546	HTR1D	gene	3352
ENSG00000125944	HNRNPR	gene	10236
ENSG00000125945	ZNF436	gene	80818
ENSG00000249087	C1orf213	gene	148898
ENSG00000204219	TCEA3	gene	6920
ENSG00000088280	ASAP3	gene	55616
ENSG00000007968	E2F2	gene	1870
ENSG00000117318	ID3	gene	3399
ENSG00000197880	MDS2	gene	259283
ENSG00000142676	RPL11	gene	6135
ENSG00000011007	TCEB3	gene	6924
ENSG00000057757	PITHD1	gene	57095
ENSG00000011009	LYPLA2	gene	11313
ENSG00000117308	GALE	gene	2582
ENSG00000117305	HMGCL	gene	3155
ENSG00000179163	FUCA1	gene	2517
ENSG00000188822	CNR2	gene	1269
ENSG00000189266	PNRC2	gene	55629
ENSG00000188529	SRSF10	gene	10772
ENSG00000142661	MYOM3	gene	127294
ENSG00000142677	IL22RA1	gene	58985
ENSG00000185436	IFNLR1	gene	163702
ENSG00000158055	GRHL3	gene	57822
ENSG00000001460	STPG1	gene	90529
ENSG00000001461	NIPAL3	gene	57185
ENSG00000117602	RCAN3	gene	11123
ENSG00000184454	NCMAP	gene	400746
ENSG00000133226	SRRM1	gene	10250
ENSG00000169504	CLIC4	gene	25932
ENSG00000020633	RUNX3	gene	864
ENSG00000117614	SYF2	gene	25949
ENSG00000117616	C1orf63	gene	57035
ENSG00000187010	RHD	gene	6007
ENSG00000183726	TMEM50A	gene	23585
ENSG00000188672	RHCE	gene	6006
ENSG00000204178	TMEM57	gene	55219
ENSG00000157978	LDLRAP1	gene	26119
ENSG00000117643	MAN1C1	gene	57134
ENSG00000162430	SEPN1	gene	57190
ENSG00000117640	MTFR1L	gene	56181
ENSG00000223474	AL020996.1	gene	NA
ENSG00000127423	AUNIP	gene	79000
ENSG00000182749	PAQR7	gene	164091
ENSG00000117632	STMN1	gene	3925
ENSG00000158006	PAFAH2	gene	5051
ENSG00000158008	EXTL1	gene	2134
ENSG00000158014	SLC30A2	gene	7780
ENSG00000158022	TRIM63	gene	84676
ENSG00000175087	PDIK1L	gene	149420
ENSG00000197245	FAM110D	gene	79927
ENSG00000142684	ZNF593	gene	51042
ENSG00000142675	CNKSR1	gene	10256
ENSG00000188782	CATSPER4	gene	378807
ENSG00000130695	CEP85	gene	64793
ENSG00000142669	SH3BGRL3	gene	83442
ENSG00000158062	UBXN11	gene	91544
ENSG00000169442	CD52	gene	1043
ENSG00000176092	AIM1L	gene	55057
ENSG00000176083	ZNF683	gene	257101
ENSG00000131914	LIN28A	gene	79727
ENSG00000117682	DHDDS	gene	79947
ENSG00000198830	HMGN2	gene	3151
ENSG00000117676	RPS6KA1	gene	6195
ENSG00000117713	ARID1A	gene	8289
ENSG00000060642	PIGV	gene	55650
ENSG00000204160	ZDHHC18	gene	84243
ENSG00000175793	SFN	gene	2810
ENSG00000142751	GPN2	gene	54707
ENSG00000198746	GPATCH3	gene	63906
ENSG00000090273	NUDC	gene	10726
ENSG00000131910	NR0B2	gene	8431
ENSG00000175707	C1orf172	gene	126695
ENSG00000253368	TRNP1	gene	388610
ENSG00000158246	FAM46B	gene	115572
ENSG00000090020	SLC9A1	gene	6548
ENSG00000142784	WDTC1	gene	23038
ENSG00000186501	TMEM222	gene	84065
ENSG00000142765	SYTL1	gene	84958
ENSG00000142733	MAP3K6	gene	9064
ENSG00000142748	FCN3	gene	8547
ENSG00000174950	CD164L2	gene	388611
ENSG00000181773	GPR3	gene	2827
ENSG00000158195	WASF2	gene	10163
ENSG00000126705	AHDC1	gene	27245
ENSG00000000938	FGR	gene	2268
ENSG00000126709	IFI6	gene	2537
ENSG00000009780	FAM76A	gene	199870
ENSG00000117758	STX12	gene	23673
ENSG00000117751	PPP1R8	gene	5511
ENSG00000268552	AL109927.1	gene	NA
ENSG00000130775	THEMIS2	gene	9473
ENSG00000117748	RPA2	gene	6118
ENSG00000130768	SMPDL3B	gene	27293
ENSG00000158156	XKR8	gene	55113
ENSG00000158161	EYA3	gene	2140
ENSG00000169403	PTAFR	gene	5724
ENSG00000126698	DNAJC8	gene	22826
ENSG00000215902	AL353354.1	gene	NA
ENSG00000269804	AL353354.2	gene	NA
ENSG00000130770	ATPIF1	gene	93974
ENSG00000130766	SESN2	gene	83667
ENSG00000130772	MED18	gene	54797
ENSG00000204138	PHACTR4	gene	65979
ENSG00000180198	RCC1	gene	1104
ENSG00000180098	TRNAU1AP	gene	54952
ENSG00000120656	TAF12	gene	6883
ENSG00000188060	RAB42	gene	115273
ENSG00000162419	GMEB1	gene	10691
ENSG00000198492	YTHDF2	gene	51441
ENSG00000116329	OPRD1	gene	4985
ENSG00000159023	EPB41	gene	2035
ENSG00000253304	TMEM200B	gene	399474
ENSG00000116350	SRSF4	gene	6429
ENSG00000116353	MECR	gene	51102
ENSG00000060656	PTPRU	gene	10076
ENSG00000162510	MATN1	gene	4146
ENSG00000162511	LAPTM5	gene	7805
ENSG00000162512	SDC3	gene	9672
ENSG00000134644	PUM1	gene	9698
ENSG00000084628	NKAIN1	gene	79570
ENSG00000060688	SNRNP40	gene	9410
ENSG00000121766	ZCCHC17	gene	51538
ENSG00000121769	FABP3	gene	2170
ENSG00000168528	SERINC2	gene	347735
ENSG00000268950	AC114494.1	gene	NA
ENSG00000142910	TINAGL1	gene	64129
ENSG00000121764	HCRTR1	gene	3061
ENSG00000162517	PEF1	gene	553115
ENSG00000084636	COL16A1	gene	1307
ENSG00000121753	BAI2	gene	576
ENSG00000134668	SPOCD1	gene	90853
ENSG00000184007	PTP4A2	gene	8073
ENSG00000212673	AL136115.1	gene	NA
ENSG00000121774	KHDRBS1	gene	10657
ENSG00000121775	TMEM39B	gene	55116
ENSG00000025800	KPNA6	gene	23633
ENSG00000084652	TXLNA	gene	200081
ENSG00000160050	CCDC28B	gene	79140
ENSG00000160051	IQCC	gene	55721
ENSG00000222046	DCDC2B	gene	149069
ENSG00000160055	TMEM234	gene	56063
ENSG00000084623	EIF3I	gene	8668
ENSG00000183615	FAM167B	gene	84734
ENSG00000182866	LCK	gene	3932
ENSG00000116478	HDAC1	gene	3065
ENSG00000175130	MARCKSL1	gene	65108
ENSG00000162526	TSSK3	gene	81629
ENSG00000225828	FAM229A	gene	100128071
ENSG00000160058	BSDC1	gene	55108
ENSG00000273274	ZBTB8B	gene	728116
ENSG00000160062	ZBTB8A	gene	653121
ENSG00000176261	ZBTB8OS	gene	339487
ENSG00000162521	RBBP4	gene	5928
ENSG00000162520	SYNC	gene	81493
ENSG00000162522	KIAA1522	gene	57648
ENSG00000134684	YARS	gene	8565
ENSG00000116497	S100PBP	gene	64766
ENSG00000160097	FNDC5	gene	252995
ENSG00000121905	HPCA	gene	3208
ENSG00000121900	TMEM54	gene	113452
ENSG00000116514	RNF19B	gene	127544
ENSG00000267885	FKSG48	gene	NA
ENSG00000004455	AK2	gene	204
ENSG00000142920	ADC	gene	113451
ENSG00000116525	TRIM62	gene	55223
ENSG00000160094	ZNF362	gene	149076
ENSG00000184389	A3GALT2	gene	127550
ENSG00000134686	PHC2	gene	1912
ENSG00000121903	ZSCAN20	gene	7579
ENSG00000121904	CSMD2	gene	114784
ENSG00000176256	HMGB4	gene	127540
ENSG00000142698	C1orf94	gene	84970
ENSG00000163866	SMIM12	gene	113444
ENSG00000189280	GJB5	gene	2709
ENSG00000189433	GJB4	gene	127534
ENSG00000188910	GJB3	gene	2707
ENSG00000187513	GJA4	gene	2701
ENSG00000116544	DLGAP3	gene	58512
ENSG00000243749	ZMYM6NB	gene	100506144
ENSG00000163867	ZMYM6	gene	9204
ENSG00000197056	ZMYM1	gene	79830
ENSG00000116560	SFPQ	gene	6421
ENSG00000146463	ZMYM4	gene	9202
ENSG00000142687	KIAA0319L	gene	79932
ENSG00000020129	NCDN	gene	23154
ENSG00000116819	TFAP2E	gene	339488
ENSG00000126067	PSMB2	gene	5690
ENSG00000142686	C1orf216	gene	127703
ENSG00000092853	CLSPN	gene	63967
ENSG00000134698	AGO4	gene	192670
ENSG00000092847	AGO1	gene	26523
ENSG00000126070	AGO3	gene	192669
ENSG00000092850	TEKT2	gene	27285
ENSG00000116863	ADPRHL2	gene	54936
ENSG00000171812	COL8A2	gene	1296
ENSG00000054116	TRAPPC3	gene	27095
ENSG00000116871	MAP7D1	gene	55700
ENSG00000054118	THRAP3	gene	9967
ENSG00000214193	SH3D21	gene	79729
ENSG00000142694	EVA1B	gene	55194
ENSG00000116883	RP11-268J15.5	gene	NA
ENSG00000196182	STK40	gene	83931
ENSG00000181817	LSM10	gene	84967
ENSG00000116885	OSCP1	gene	127700
ENSG00000116898	MRPS15	gene	64960
ENSG00000119535	CSF3R	gene	1441
ENSG00000163873	GRIK3	gene	2899
ENSG00000163874	ZC3H12A	gene	80149
ENSG00000163875	MEAF6	gene	64769
ENSG00000163877	SNIP1	gene	79753
ENSG00000163879	DNALI1	gene	7802
ENSG00000134697	GNL2	gene	29889
ENSG00000169218	RSPO1	gene	284654
ENSG00000116922	C1orf109	gene	54955
ENSG00000134690	CDCA8	gene	55143
ENSG00000183317	EPHA10	gene	284656
ENSG00000185090	MANEAL	gene	149175
ENSG00000196449	YRDC	gene	79693
ENSG00000197982	C1orf122	gene	127687
ENSG00000188786	MTF1	gene	4520
ENSG00000230610	AL929472.1	gene	NA
ENSG00000204084	INPP5B	gene	3633
ENSG00000183431	SF3A3	gene	10946
ENSG00000183386	FHL3	gene	2275
ENSG00000183520	UTP11L	gene	51118
ENSG00000185668	POU3F1	gene	5453
ENSG00000116954	RRAGC	gene	64121
ENSG00000214114	MYCBP	gene	26292
ENSG00000131233	GJA9	gene	81025
ENSG00000158315	RHBDL2	gene	54933
ENSG00000174574	AKIRIN1	gene	79647
ENSG00000168653	NDUFS5	gene	4725
ENSG00000127603	MACF1	gene	23499
ENSG00000255103	KIAA0754	gene	NA
ENSG00000183682	BMP8A	gene	353500
ENSG00000090621	PABPC4	gene	8761
ENSG00000163909	HEYL	gene	26508
ENSG00000116981	NT5C1A	gene	84618
ENSG00000116983	HPCAL4	gene	51440
ENSG00000084072	PPIE	gene	10450
ENSG00000116985	BMP8B	gene	656
ENSG00000198754	OXCT2	gene	64064
ENSG00000043514	TRIT1	gene	54802
ENSG00000116990	MYCL	gene	4610
ENSG00000168389	MFSD2A	gene	84879
ENSG00000131236	CAP1	gene	10487
ENSG00000131238	PPT1	gene	5538
ENSG00000117000	RLF	gene	6018
ENSG00000188800	TMCO2	gene	127391
ENSG00000084073	ZMPSTE24	gene	10269
ENSG00000049089	COL9A2	gene	1298
ENSG00000084070	SMAP2	gene	64744
ENSG00000187801	ZFP69B	gene	65243
ENSG00000187815	ZFP69	gene	339559
ENSG00000164002	EXO5	gene	64789
ENSG00000117010	ZNF684	gene	127396
ENSG00000117016	RIMS3	gene	9783
ENSG00000066136	NFYC	gene	4802
ENSG00000117013	KCNQ4	gene	9132
ENSG00000179862	CITED4	gene	163732
ENSG00000171793	CTPS1	gene	1503
ENSG00000171790	SLFNL1	gene	200172
ENSG00000010803	SCMH1	gene	22955
ENSG00000204060	FOXO6	gene	100132074
ENSG00000127129	EDN2	gene	1907
ENSG00000127124	HIVEP3	gene	59269
ENSG00000044012	GUCA2B	gene	2981
ENSG00000197273	GUCA2A	gene	2980
ENSG00000198815	FOXJ3	gene	22887
ENSG00000177181	RIMKLA	gene	284716
ENSG00000066185	ZMYND12	gene	84217
ENSG00000127125	PPCS	gene	79717
ENSG00000186409	CCDC30	gene	728621
ENSG00000171960	PPIH	gene	10465
ENSG00000065978	YBX1	gene	4904
ENSG00000164007	CLDN19	gene	149461
ENSG00000117385	LEPRE1	gene	64175
ENSG00000164008	C1orf50	gene	79078
ENSG00000177868	CCDC23	gene	374969
ENSG00000164010	ERMAP	gene	114625
ENSG00000164011	ZNF691	gene	51058
ENSG00000117394	SLC2A1	gene	6513
ENSG00000186973	FAM183A	gene	440585
ENSG00000117395	EBNA1BP2	gene	10969
ENSG00000243710	WDR65	gene	149465
ENSG00000179178	TMEM125	gene	128218
ENSG00000253313	C1orf210	gene	149466
ENSG00000066056	TIE1	gene	7075
ENSG00000117400	MPL	gene	4352
ENSG00000117399	CDC20	gene	991
ENSG00000066322	ELOVL1	gene	64834
ENSG00000159479	MED8	gene	112950
ENSG00000198198	SZT2	gene	23334
ENSG00000178922	HYI	gene	81888
ENSG00000142949	PTPRF	gene	5792
ENSG00000066135	KDM4A	gene	9682
ENSG00000126091	ST3GAL3	gene	6487
ENSG00000117407	ARTN	gene	9048
ENSG00000117408	IPO13	gene	9670
ENSG00000132768	DPH2	gene	1802
ENSG00000117410	ATP6V0B	gene	533
ENSG00000117411	B4GALT2	gene	8704
ENSG00000159214	CCDC24	gene	149473
ENSG00000196517	SLC6A9	gene	6536
ENSG00000171872	KLF17	gene	128209
ENSG00000178028	DMAP1	gene	55929
ENSG00000117419	ERI3	gene	79033
ENSG00000187147	RNF220	gene	55182
ENSG00000126106	TMEM53	gene	79639
ENSG00000198520	C1orf228	gene	339541
ENSG00000142945	KIF2C	gene	11004
ENSG00000142937	RPS8	gene	6202
ENSG00000142959	BEST4	gene	266675
ENSG00000173846	PLK3	gene	1263
ENSG00000188396	TCTEX1D4	gene	343521
ENSG00000222009	BTBD19	gene	149478
ENSG00000117425	PTCH2	gene	8643
ENSG00000070785	EIF2B3	gene	8891
ENSG00000126107	HECTD3	gene	79654
ENSG00000126088	UROD	gene	7389
ENSG00000162415	ZSWIM5	gene	57643
ENSG00000186603	HPDL	gene	84842
ENSG00000132781	MUTYH	gene	4595
ENSG00000132773	TOE1	gene	114034
ENSG00000070759	TESK2	gene	10420
ENSG00000236624	CCDC163P	gene	NA
ENSG00000132763	MMACHC	gene	25974
ENSG00000117450	PRDX1	gene	5052
ENSG00000117448	AKR1A1	gene	10327
ENSG00000132780	NASP	gene	4678
ENSG00000159588	CCDC17	gene	149483
ENSG00000159592	GPBP1L1	gene	60313
ENSG00000159596	TMEM69	gene	51249
ENSG00000197429	IPP	gene	3652
ENSG00000086015	MAST2	gene	23139
ENSG00000117461	PIK3R3	gene	8503
ENSG00000117472	TSPAN1	gene	10103
ENSG00000085998	POMGNT1	gene	55624
ENSG00000171357	LURAP1	gene	541468
ENSG00000085999	RAD54L	gene	8438
ENSG00000132128	LRRC41	gene	10489
ENSG00000173660	UQCRH	gene	7388
ENSG00000117481	NSUN4	gene	387338
ENSG00000117480	FAAH	gene	2166
ENSG00000197587	DMBX1	gene	127343
ENSG00000162456	KNCN	gene	148930
ENSG00000079277	MKNK1	gene	8569
ENSG00000142961	MOB3C	gene	148932
ENSG00000123472	ATPAF1	gene	64756
ENSG00000159658	EFCAB14	gene	9813
