ensembl_id	entrezgene_id	genesymbol	biotype	Length
ENSG00000005075	5439	POLR2J	protein_coding	911
ENSG00000005100	56919	DHX33	protein_coding	5596
ENSG00000005102	4222	MEOX1	protein_coding	2707
ENSG00000005108	221981	THSD7A	protein_coding	10568
ENSG00000005156	3980	LIG3	protein_coding	4380
ENSG00000005175	79657	RPAP3	protein_coding	2736
ENSG00000005187	6296	ACSM3	protein_coding	3983
ENSG00000005189	81691	AC004381.6	protein_coding	3121
ENSG00000005194	57019	CIAPIN1	protein_coding	2321
ENSG00000005206	56928	SPPL2B	processed_transcript	5571
ENSG00000005238	80256	FAM214B	protein_coding	6409
ENSG00000005243	51226	COPZ2	protein_coding	1548
ENSG00000005249	5577	PRKAR2B	protein_coding	4318
ENSG00000005302	10943	MSL3	protein_coding	5646
ENSG00000005339	1387	CREBBP	protein_coding	11052
ENSG00000005379	9256	BZRAP1	protein_coding	7442
ENSG00000005381	4353	MPO	protein_coding	3451
ENSG00000005421	5444	PON1	protein_coding	2568
ENSG00000005436	6936	GCFC2	protein_coding	4903
ENSG00000005448	84058	WDR54	protein_coding	1335
ENSG00000005469	54677	CROT	protein_coding	4222
ENSG00000005471	5244	ABCB4	protein_coding	6124
ENSG00000005483	55904	KMT2E	protein_coding	8073
ENSG00000005486	57414	RHBDD2	protein_coding	2441
ENSG00000005513	30812	SOX8	protein_coding	3049
ENSG00000005700	25998	IBTK	protein_coding	6187
ENSG00000005801	7748	ZNF195	protein_coding	5239
ENSG00000005810	23077	MYCBP2	protein_coding	14888
ENSG00000005812	26224	FBXL3	protein_coding	4162
ENSG00000005844	3683	ITGAL	protein_coding	5208
ENSG00000005882	5164	PDK2	protein_coding	2151
ENSG00000005884	3675	ITGA3	protein_coding	5119
ENSG00000005889	7543	ZFX	protein_coding	9011
ENSG00000005893	3920	LAMP2	protein_coding	5617
ENSG00000005955	NA	GGNBP2	protein_coding	5243
ENSG00000005961	3674	ITGA2B	protein_coding	3569
ENSG00000005981	51666	ASB4	protein_coding	4605
ENSG00000006007	51573	GDE1	protein_coding	3866
ENSG00000006015	55049	C19orf60	protein_coding	858
ENSG00000006016	9244	CRLF1	protein_coding	2305
ENSG00000006025	114881	OSBPL7	protein_coding	4290
ENSG00000006042	26022	TMEM98	protein_coding	5127
ENSG00000006047	51087	YBX2	protein_coding	1880
ENSG00000006059	3883	KRT33A	protein_coding	1287
ENSG00000006062	9020	MAP3K14	processed_transcript	4062
ENSG00000006071	6833	ABCC8	protein_coding	5717
ENSG00000006074	NA	CCL18	protein_coding	1324
ENSG00000006075	NA	CCL3	protein_coding	310
ENSG00000006114	NA	SYNRG	protein_coding	8991
ENSG00000006116	10368	CACNG3	protein_coding	3088
ENSG00000006118	54972	TMEM132A	protein_coding	5066
ENSG00000006125	163	AP2B1	protein_coding	7519
ENSG00000006128	6863	TAC1	protein_coding	1239
ENSG00000006194	10127	ZNF263	protein_coding	7033
ENSG00000006210	6376	CX3CL1	protein_coding	5983
ENSG00000006282	64847	SPATA20	protein_coding	3542
ENSG00000006283	8913	CACNA1G	protein_coding	9400
ENSG00000006327	51330	TNFRSF12A	protein_coding	1408
ENSG00000006377	1750	DLX6	protein_coding	2200
ENSG00000006432	4293	MAP3K9	protein_coding	11987
ENSG00000006451	5898	RALA	protein_coding	3665
ENSG00000006453	55971	BAIAP2L1	protein_coding	3459
ENSG00000006459	80853	JHDM1D	protein_coding	9366
ENSG00000006468	2115	ETV1	protein_coding	8465
ENSG00000006530	55750	AGK	protein_coding	5048
ENSG00000006534	221	ALDH3B1	protein_coding	3553
ENSG00000006555	55001	TTC22	protein_coding	4439
ENSG00000006576	57157	PHTF2	protein_coding	7345
ENSG00000006606	10344	CCL26	protein_coding	706
ENSG00000006607	9855	FARP2	protein_coding	10616
ENSG00000006611	10083	USH1C	protein_coding	4018
ENSG00000006625	79017	GGCT	protein_coding	1597
ENSG00000006634	10926	DBF4	protein_coding	3778
ENSG00000006638	6915	TBXA2R	protein_coding	2793
ENSG00000006652	3475	IFRD1	protein_coding	5720
ENSG00000006659	56891	LGALS14	protein_coding	1079
ENSG00000006695	1352	COX10	protein_coding	3172
ENSG00000006704	9569	GTF2IRD1	protein_coding	6414
ENSG00000006712	54623	PAF1	protein_coding	2213
ENSG00000006715	27072	VPS41	protein_coding	7126
ENSG00000006740	9912	ARHGAP44	protein_coding	4335
ENSG00000006744	60528	ELAC2	protein_coding	3457
ENSG00000006747	85477	SCIN	protein_coding	4085
ENSG00000006756	414	ARSD	protein_coding	5994
ENSG00000006757	8228	PNPLA4	protein_coding	3441
ENSG00000006788	8735	MYH13	protein_coding	6242
ENSG00000006831	79602	ADIPOR2	protein_coding	5878
ENSG00000006837	51265	CDKL3	protein_coding	3163
ENSG00000007001	151531	UPP2	protein_coding	2957
ENSG00000007038	10942	PRSS21	protein_coding	1640
ENSG00000007047	57787	MARK4	protein_coding	5339
ENSG00000007062	8842	PROM1	protein_coding	6436
ENSG00000007080	115098	CCDC124	protein_coding	1247
ENSG00000007129	90273	CEACAM21	protein_coding	1893
ENSG00000007168	5048	PAFAH1B1	protein_coding	5913
ENSG00000007171	4843	NOS2	protein_coding	4176
ENSG00000007174	1770	DNAH9	protein_coding	16340
ENSG00000007202	9703	KIAA0100	protein_coding	6216
ENSG00000007216	9058	SLC13A2	protein_coding	3226
ENSG00000007237	8522	GAS7	protein_coding	9875
ENSG00000007255	79090	TRAPPC6A	protein_coding	805
ENSG00000007264	4145	MATK	protein_coding	4138
ENSG00000007306	1087	CEACAM7	protein_coding	2649
ENSG00000007312	974	CD79B	protein_coding	1272
ENSG00000007314	6329	SCN4A	protein_coding	7809
ENSG00000007341	54879	ST7L	protein_coding	4826
ENSG00000007350	8277	TKTL1	protein_coding	3650
ENSG00000007372	5080	PAX6	protein_coding	9562
ENSG00000007376	113000	RPUSD1	protein_coding	2627
ENSG00000007384	64285	RHBDF1	protein_coding	3512
ENSG00000007392	55692	LUC7L	protein_coding	3803
ENSG00000007402	9254	CACNA2D2	protein_coding	5618
ENSG00000007516	8938	BAIAP3	protein_coding	4882
ENSG00000007520	115939	TSR3	protein_coding	1044
ENSG00000007541	9091	PIGQ	protein_coding	5340
ENSG00000007545	57585	CRAMP1L	protein_coding	7638
ENSG00000007866	7005	TEAD3	protein_coding	3046
ENSG00000007908	6401	SELE	protein_coding	3976
ENSG00000007923	55735	DNAJC11	protein_coding	3728
ENSG00000007933	2328	FMO3	protein_coding	3463
ENSG00000007944	29116	MYLIP	protein_coding	3033
ENSG00000007952	27035	NOX1	protein_coding	2529
ENSG00000007968	1870	E2F2	protein_coding	5457
ENSG00000008018	5689	PSMB1	protein_coding	2256
ENSG00000008056	6853	SYN1	protein_coding	3198
ENSG00000008083	3720	JARID2	protein_coding	6490
ENSG00000008086	6792	CDKL5	protein_coding	3448
ENSG00000008118	57172	CAMK1G	protein_coding	2676
ENSG00000008128	728642	CDK11A	protein_coding	3306
ENSG00000008130	65220	NADK	protein_coding	4599
ENSG00000008196	7021	TFAP2B	protein_coding	6149
ENSG00000008197	83741	TFAP2D	protein_coding	1856
ENSG00000008226	9940	DLEC1	protein_coding	5935
ENSG00000008256	9265	CYTH3	protein_coding	5399
ENSG00000008277	53616	ADAM22	protein_coding	12217
ENSG00000008282	6856	SYPL1	protein_coding	2371
ENSG00000008283	1534	CYB561	protein_coding	4648
ENSG00000008294	9043	SPAG9	protein_coding	8988
ENSG00000008300	1951	CELSR3	protein_coding	11906
ENSG00000008311	10157	AASS	protein_coding	3638
ENSG00000008323	55200	PLEKHG6	protein_coding	4260
ENSG00000008324	51188	SS18L2	protein_coding	937
ENSG00000008382	84954	MPND	protein_coding	1574
ENSG00000008394	4257	MGST1	protein_coding	5773
ENSG00000008405	1407	CRY1	protein_coding	3593
ENSG00000008438	8993	PGLYRP1	protein_coding	720
ENSG00000008441	4784	NFIX	protein_coding	6235
ENSG00000008513	6482	ST3GAL1	protein_coding	8478
ENSG00000008516	64386	MMP25	protein_coding	2533
ENSG00000008517	9235	IL32	protein_coding	1830
ENSG00000008710	5310	PKD1	protein_coding	14301
ENSG00000008735	23542	MAPK8IP2	protein_coding	6107
ENSG00000008838	9862	MED24	protein_coding	5450
ENSG00000008853	23221	RHOBTB2	protein_coding	4473
ENSG00000008869	54497	HEATR5B	protein_coding	7124
ENSG00000008952	7095	SEC62	protein_coding	6965
ENSG00000008988	6224	RPS20	protein_coding	2640
ENSG00000009307	7812	CSDE1	protein_coding	5147
ENSG00000009335	9690	UBE3C	protein_coding	5687
ENSG00000009413	5980	REV3L	protein_coding	10866
ENSG00000009694	10178	TENM1	protein_coding	12655
ENSG00000009709	5081	PAX7	protein_coding	6313
ENSG00000009724	10747	MASP2	protein_coding	2530
ENSG00000009765	389434	IYD	protein_coding	10275
ENSG00000009780	199870	FAM76A	protein_coding	4034
ENSG00000009790	80342	TRAF3IP3	protein_coding	3954
ENSG00000009830	29954	POMT2	protein_coding	6133
ENSG00000009844	51534	VTA1	protein_coding	7194
ENSG00000009950	51085	MLXIPL	protein_coding	3766
ENSG00000009954	9031	BAZ1B	protein_coding	6595
ENSG00000010017	10048	RANBP9	protein_coding	3133
ENSG00000010030	51513	ETV7	protein_coding	2369
ENSG00000010072	83932	SPRTN	protein_coding	5157
ENSG00000010165	51603	METTL13	protein_coding	3843
ENSG00000010219	8798	DYRK4	protein_coding	3922
ENSG00000010244	7756	ZNF207	protein_coding	14207
ENSG00000010256	7384	UQCRC1	protein_coding	2198
ENSG00000010270	83930	STARD3NL	protein_coding	2320
ENSG00000010278	928	CD9	protein_coding	3218
ENSG00000010282	57467	HHATL	protein_coding	1930
ENSG00000010292	9918	NCAPD2	protein_coding	5930
ENSG00000010295	25900	IFFO1	protein_coding	3918
ENSG00000010310	2696	GIPR	protein_coding	3776
ENSG00000010318	51533	PHF7	protein_coding	2239
ENSG00000010319	56920	SEMA3G	protein_coding	5011
ENSG00000010322	11188	NISCH	protein_coding	7578
ENSG00000010327	23166	STAB1	protein_coding	7802
ENSG00000010361	80199	FUZ	protein_coding	1901
ENSG00000010379	6540	SLC6A13	protein_coding	3372
ENSG00000010404	3423	IDS	protein_coding	9212
ENSG00000010438	5646	PRSS3	protein_coding	1542
ENSG00000010539	7752	ZNF200	protein_coding	3867
ENSG00000010610	920	CD4	protein_coding	4122
ENSG00000010626	10233	LRRC23	protein_coding	2400
ENSG00000010671	695	BTK	protein_coding	3487
ENSG00000010704	3077	HFE	protein_coding	5357
ENSG00000010803	22955	SCMH1	protein_coding	4447
ENSG00000010810	2534	FYN	protein_coding	5842
ENSG00000010818	3097	HIVEP2	protein_coding	9520
ENSG00000010932	2326	FMO1	protein_coding	3412
ENSG00000011007	6924	TCEB3	protein_coding	4621
ENSG00000011009	11313	LYPLA2	protein_coding	2196
ENSG00000011021	1185	CLCN6	protein_coding	6493
ENSG00000011028	9902	MRC2	protein_coding	6618
ENSG00000011083	6534	SLC6A7	protein_coding	3969
ENSG00000011105	10867	TSPAN9	protein_coding	5223
ENSG00000011114	55727	BTBD7	protein_coding	9648
ENSG00000011132	9546	APBA3	protein_coding	2013
ENSG00000011143	54903	MKS1	protein_coding	2895
ENSG00000011198	51099	ABHD5	protein_coding	2650
ENSG00000011201	3730	KAL1	protein_coding	7131
ENSG00000011243	26993	AKAP8L	protein_coding	2817
ENSG00000011258	54799	MBTD1	protein_coding	7157
ENSG00000011260	51096	UTP18	protein_coding	2011
ENSG00000011275	54476	RNF216	protein_coding	7426
ENSG00000011295	54902	TTC19	protein_coding	3789
ENSG00000011304	5725	PTBP1	protein_coding	3809
ENSG00000011332	8193	DPF1	protein_coding	3314
ENSG00000011347	9066	SYT7	protein_coding	5904
ENSG00000011376	23395	LARS2	protein_coding	5393
ENSG00000011405	5286	PIK3C2A	protein_coding	9146
ENSG00000011422	5329	PLAUR	protein_coding	3446
ENSG00000011426	54443	ANLN	protein_coding	5208
ENSG00000011451	58525	WIZ	protein_coding	7640
ENSG00000011454	2844	RABGAP1	protein_coding	6271
ENSG00000011465	1634	DCN	protein_coding	8083
ENSG00000011478	54814	QPCTL	protein_coding	2256
ENSG00000011485	5536	PPP5C	protein_coding	2374
ENSG00000011523	23177	CEP68	protein_coding	7997
ENSG00000011566	8491	MAP4K3	protein_coding	5004
ENSG00000011590	27033	ZBTB32	protein_coding	2770
ENSG00000011600	7305	TYROBP	protein_coding	670
ENSG00000011638	57146	TMEM159	protein_coding	2558
ENSG00000011677	2556	GABRA3	protein_coding	4193
ENSG00000012048	672	BRCA1	protein_coding	7541
ENSG00000012061	2067	ERCC1	protein_coding	3530
ENSG00000012124	933	CD22	protein_coding	3816
ENSG00000012171	7869	SEMA3B	processed_transcript	3740
ENSG00000012174	51360	MBTPS2	protein_coding	7732
ENSG00000012211	4007	PRICKLE3	protein_coding	2958
ENSG00000012223	4057	LTF	protein_coding	3956
ENSG00000012232	2137	EXTL3	protein_coding	7718
ENSG00000012504	9971	NR1H4	protein_coding	3460
ENSG00000012660	60481	ELOVL5	protein_coding	4223
ENSG00000012779	240	ALOX5	protein_coding	3685
ENSG00000012817	8284	KDM5D	protein_coding	5581
ENSG00000012822	57658	CALCOCO1	protein_coding	4762
ENSG00000012963	55148	UBR7	protein_coding	3655
ENSG00000012983	11183	MAP4K5	protein_coding	4322
ENSG00000013016	30845	EHD3	protein_coding	4959
ENSG00000013275	5704	PSMC4	protein_coding	1591
ENSG00000013288	23324	MAN2B2	protein_coding	8898
ENSG00000013293	57709	SLC7A14	protein_coding	10249
ENSG00000013297	5010	CLDN11	protein_coding	5407
ENSG00000013306	51629	SLC25A39	protein_coding	2490
ENSG00000013364	9961	MVP	protein_coding	4386
ENSG00000013374	51667	NUB1	protein_coding	4487
ENSG00000013375	5238	PGM3	protein_coding	5874
ENSG00000013392	112611	RWDD2A	protein_coding	4686
ENSG00000013441	1195	CLK1	protein_coding	2699
ENSG00000013503	55703	POLR3B	protein_coding	4754
ENSG00000013523	23357	ANGEL1	protein_coding	5347
ENSG00000013561	9604	RNF14	protein_coding	4605
ENSG00000013563	1774	DNASE1L1	protein_coding	2252
ENSG00000013573	1663	DDX11	protein_coding	5291
ENSG00000013583	50865	HEBP1	protein_coding	2919
ENSG00000013588	9052	GPRC5A	protein_coding	7645
ENSG00000013619	10046	MAMLD1	protein_coding	5321
ENSG00000013725	923	CD6	protein_coding	3876
ENSG00000013810	10460	TACC3	protein_coding	2809
ENSG00000014123	23376	UFL1	protein_coding	4510
ENSG00000014138	23649	POLA2	protein_coding	4570
ENSG00000014164	23144	ZC3H3	protein_coding	3731
ENSG00000014216	823	CAPN1	protein_coding	4001
ENSG00000014257	55	ACPP	protein_coding	3807
ENSG00000014641	4190	MDH1	protein_coding	2897
ENSG00000014824	10463	SLC30A9	protein_coding	6335
ENSG00000014914	10903	MTMR11	protein_coding	4591
ENSG00000014919	1355	COX15	protein_coding	4177
ENSG00000015133	440193	CCDC88C	protein_coding	9578
ENSG00000015153	10138	YAF2	protein_coding	9498
ENSG00000015171	10771	ZMYND11	protein_coding	5180
ENSG00000015285	7454	WAS	protein_coding	2381
ENSG00000015413	1800	DPEP1	protein_coding	1891
ENSG00000015475	637	BID	protein_coding	2807
ENSG00000015479	9782	MATR3	protein_coding	8123
ENSG00000015520	29881	NPC1L1	protein_coding	5252
ENSG00000015532	64132	XYLT2	protein_coding	4481
ENSG00000015568	84220	RGPD5	protein_coding	8269
ENSG00000015592	81551	STMN4	protein_coding	3007
ENSG00000015676	23386	NUDCD3	protein_coding	9998
ENSG00000016082	3670	ISL1	protein_coding	2970
ENSG00000016391	55349	CHDH	protein_coding	6359
ENSG00000016402	53832	IL20RA	protein_coding	4673
ENSG00000016490	1179	CLCA1	protein_coding	3340
ENSG00000016602	22802	CLCA4	protein_coding	3575
ENSG00000016864	55830	GLT8D1	protein_coding	2664
ENSG00000017260	27032	ATP2C1	protein_coding	6866
ENSG00000017373	NA	SRCIN1	protein_coding	10550
ENSG00000017427	3479	IGF1	protein_coding	8087
ENSG00000017483	92745	SLC38A5	protein_coding	4016
ENSG00000017621	NA	MAGIX	protein_coding	4948
ENSG00000017797	10928	RALBP1	protein_coding	4979
ENSG00000018189	22902	RUFY3	protein_coding	7486
ENSG00000018236	1272	CNTN1	protein_coding	7492
ENSG00000018280	6556	SLC11A1	protein_coding	3926
ENSG00000018408	25937	WWTR1	protein_coding	7410
ENSG00000018510	8540	AGPS	protein_coding	7710
ENSG00000018607	NA	ZNF806	pseudogene	1774
ENSG00000018610	63932	CXorf56	protein_coding	2606
ENSG00000018625	477	ATP1A2	protein_coding	5545
ENSG00000018699	55622	TTC27	protein_coding	3185
ENSG00000018869	147948	ZNF582	protein_coding	3152
ENSG00000019102	23584	VSIG2	protein_coding	1323
ENSG00000019144	23187	PHLDB1	protein_coding	7343
ENSG00000019169	8685	MARCO	protein_coding	1972
ENSG00000019186	1591	CYP24A1	protein_coding	3972
ENSG00000019485	56981	PRDM11	protein_coding	5527
ENSG00000019505	57586	SYT13	protein_coding	5289
ENSG00000019549	6591	SNAI2	protein_coding	2282
ENSG00000019582	972	CD74	protein_coding	2358
ENSG00000019991	3082	HGF	protein_coding	8897
ENSG00000019995	54764	ZRANB1	protein_coding	5230
ENSG00000020129	23154	NCDN	protein_coding	4571
ENSG00000020181	25960	GPR124	protein_coding	5432
ENSG00000020219	NA	CCT8L1P	pseudogene	1674
ENSG00000020256	55734	ZFP64	protein_coding	6997
ENSG00000020426	4331	MNAT1	protein_coding	3071
ENSG00000020577	23034	SAMD4A	protein_coding	9591
ENSG00000020633	864	RUNX3	protein_coding	4605
ENSG00000020922	4361	MRE11A	protein_coding	3242
ENSG00000021300	58473	PLEKHB1	protein_coding	3722
ENSG00000021355	1992	SERPINB1	protein_coding	3226
ENSG00000021461	64816	CYP3A43	protein_coding	2020
ENSG00000021488	11136	SLC7A9	protein_coding	2397
ENSG00000021574	6683	SPAST	protein_coding	5213
ENSG00000021645	9369	NRXN3	protein_coding	11171
ENSG00000021762	114879	OSBPL5	protein_coding	6349
ENSG00000021776	9716	AQR	protein_coding	6811
ENSG00000021826	1373	CPS1	protein_coding	6508
ENSG00000021852	732	C8B	protein_coding	2405
ENSG00000022267	2273	FHL1	protein_coding	4945
ENSG00000022277	51507	RTFDC1	protein_coding	1918
ENSG00000022355	2554	GABRA1	protein_coding	5475
ENSG00000022556	55655	NLRP2	protein_coding	5187
ENSG00000022567	57210	SLC45A4	protein_coding	8543
ENSG00000022840	9921	RNF10	protein_coding	4782
ENSG00000022976	55778	ZNF839	protein_coding	4751
ENSG00000023041	64429	ZDHHC6	protein_coding	2404
ENSG00000023171	57476	GRAMD1B	protein_coding	9183
ENSG00000023191	6050	RNH1	protein_coding	5539
ENSG00000023228	4719	NDUFS1	protein_coding	10601
ENSG00000023287	9821	RB1CC1	protein_coding	7184
ENSG00000023318	23071	ERP44	protein_coding	4854
ENSG00000023330	211	ALAS1	protein_coding	2536
ENSG00000023445	330	BIRC3	protein_coding	7245
ENSG00000023516	11215	AKAP11	protein_coding	9913
ENSG00000023572	51022	GLRX2	protein_coding	1299
ENSG00000023608	6617	SNAPC1	protein_coding	2656
ENSG00000023697	51071	DERA	protein_coding	2787
ENSG00000023734	11171	STRAP	protein_coding	1909
ENSG00000023839	1244	ABCC2	protein_coding	6232
ENSG00000023892	50619	DEF6	protein_coding	2675
ENSG00000023902	51177	PLEKHO1	protein_coding	4320
ENSG00000023909	2730	GCLM	protein_coding	5374
ENSG00000024048	23304	UBR2	protein_coding	8997
ENSG00000024422	30846	EHD2	protein_coding	3923
ENSG00000024526	55635	DEPDC1	protein_coding	5135
ENSG00000024862	25901	CCDC28A	protein_coding	1496
ENSG00000025039	58528	RRAGD	protein_coding	5072
ENSG00000025156	3298	HSF2	protein_coding	2702
ENSG00000025293	51230	PHF20	protein_coding	7316
ENSG00000025423	8630	HSD17B6	protein_coding	2140
ENSG00000025434	10062	NR1H3	protein_coding	3646
ENSG00000025708	1890	TYMP	protein_coding	1341
ENSG00000025770	29781	NCAPH2	protein_coding	2604
ENSG00000025772	10953	TOMM34	protein_coding	2062
ENSG00000025796	11231	SEC63	protein_coding	6551
ENSG00000025800	23633	KPNA6	protein_coding	7020
ENSG00000026025	7431	VIM	protein_coding	3705
ENSG00000026103	355	FAS	protein_coding	2902
ENSG00000026297	8635	RNASET2	protein_coding	3068
ENSG00000026508	960	CD44	protein_coding	8335
ENSG00000026559	3755	KCNG1	protein_coding	5886
ENSG00000026652	56895	AGPAT4	protein_coding	9419
ENSG00000026751	57823	SLAMF7	protein_coding	2946
ENSG00000026950	11119	BTN3A1	protein_coding	4298
ENSG00000027001	4285	MIPEP	protein_coding	3284
ENSG00000027075	5583	PRKCH	protein_coding	8320
ENSG00000027644	3645	INSRR	protein_coding	5019
ENSG00000027697	3459	IFNGR1	protein_coding	2680
ENSG00000027847	11285	B4GALT7	protein_coding	2137
ENSG00000027869	9047	SH2D2A	protein_coding	2512
ENSG00000028116	7444	VRK2	protein_coding	3105
ENSG00000028137	7133	TNFRSF1B	protein_coding	3766
ENSG00000028203	55591	VEZT	protein_coding	7475
ENSG00000028277	5452	POU2F2	protein_coding	8701
ENSG00000028310	65980	BRD9	protein_coding	4435
ENSG00000028528	6642	SNX1	protein_coding	9244
ENSG00000028839	9519	TBPL1	protein_coding	3303
ENSG00000029153	56938	ARNTL2	protein_coding	4929
ENSG00000029363	9774	BCLAF1	protein_coding	8000
ENSG00000029364	55334	SLC39A9	protein_coding	5756
ENSG00000029534	286	ANK1	protein_coding	9478
ENSG00000029559	3381	IBSP	protein_coding	1033
ENSG00000029639	51106	TFB1M	protein_coding	2521
ENSG00000029725	9135	RABEP1	protein_coding	5626
ENSG00000029993	3149	HMGB3	protein_coding	3967
ENSG00000030066	23279	NUP160	protein_coding	8422
ENSG00000030110	578	BAK1	protein_coding	2267
ENSG00000030304	4593	MUSK	protein_coding	4159
ENSG00000030419	22807	IKZF2	protein_coding	10876
ENSG00000030582	2896	GRN	protein_coding	2840
ENSG00000031003	51306	FAM13B	protein_coding	5254
ENSG00000031081	57514	ARHGAP31	protein_coding	9384
ENSG00000031544	NA	NR2E3	processed_transcript	3595
ENSG00000031691	55166	CENPQ	protein_coding	1733
ENSG00000031698	6301	SARS	protein_coding	3836
ENSG00000031823	8498	RANBP3	protein_coding	4371
ENSG00000032219	5926	ARID4A	protein_coding	7321
ENSG00000032389	7260	TSSC1	protein_coding	5242
ENSG00000032444	10908	PNPLA6	protein_coding	5590
ENSG00000032742	8100	IFT88	protein_coding	5480
ENSG00000033011	56052	ALG1	protein_coding	3346
ENSG00000033030	55596	ZCCHC8	protein_coding	6798
ENSG00000033050	10061	ABCF2	protein_coding	4448
ENSG00000033100	54480	CHPF2	protein_coding	4023
ENSG00000033122	57554	LRRC7	protein_coding	12463
ENSG00000033170	2530	FUT8	protein_coding	6889
ENSG00000033178	55236	UBA6	protein_coding	10102
ENSG00000033327	9846	GAB2	protein_coding	6630
ENSG00000033627	535	ATP6V0A1	protein_coding	4834
ENSG00000033800	8554	PIAS1	protein_coding	4470
ENSG00000033867	9497	SLC4A7	protein_coding	8279
ENSG00000034053	321	APBA2	protein_coding	5221
ENSG00000034063	NA	UHRF1	processed_transcript	5144
ENSG00000034152	5606	MAP2K3	protein_coding	3254
ENSG00000034239	79645	EFCAB1	protein_coding	5551
ENSG00000034510	9168	TMSB10	protein_coding	483
ENSG00000034533	28990	ASTE1	protein_coding	3234
ENSG00000034677	25897	RNF19A	protein_coding	5217
ENSG00000034693	8504	PEX3	protein_coding	2045
