"id"	"ensembl_gene_id"	"biotype"	"hgnc_symbol"	"entrezgene_id"
"ENSG00000005961"	"ENSG00000005961.19"	"protein_coding"	"ITGA2B"	3674
"ENSG00000005981"	"ENSG00000005981.13"	"protein_coding"	"ASB4"	51666
"ENSG00000006007"	"ENSG00000006007.12"	"protein_coding"	"GDE1"	51573
"ENSG00000006015"	"ENSG00000006015.17"	"protein_coding"	"REX1BD"	55049
"ENSG00000006016"	"ENSG00000006016.11"	"protein_coding"	"CRLF1"	9244
"ENSG00000006025"	"ENSG00000006025.12"	"protein_coding"	"OSBPL7"	114881
"ENSG00000006042"	"ENSG00000006042.12"	"protein_coding"	"TMEM98"	26022
"ENSG00000006047"	"ENSG00000006047.13"	"protein_coding"	"YBX2"	51087
"ENSG00000006059"	"ENSG00000006059.4"	"protein_coding"	"KRT33A"	3883
"ENSG00000006062"	"ENSG00000006062.17"	"protein_coding"	"MAP3K14"	9020
"ENSG00000006071"	"ENSG00000006071.14"	"protein_coding"	"ABCC8"	6833
"ENSG00000006116"	"ENSG00000006116.3"	"protein_coding"	"CACNG3"	10368
"ENSG00000006118"	"ENSG00000006118.14"	"protein_coding"	"TMEM132A"	54972
"ENSG00000006125"	"ENSG00000006125.18"	"protein_coding"	"AP2B1"	163
"ENSG00000006128"	"ENSG00000006128.12"	"protein_coding"	"TAC1"	6863
"ENSG00000006194"	"ENSG00000006194.10"	"protein_coding"	"ZNF263"	10127
"ENSG00000006210"	"ENSG00000006210.7"	"protein_coding"	"CX3CL1"	6376
"ENSG00000006282"	"ENSG00000006282.21"	"protein_coding"	"SPATA20"	64847
"ENSG00000006283"	"ENSG00000006283.18"	"protein_coding"	"CACNA1G"	8913
"ENSG00000006327"	"ENSG00000006327.13"	"protein_coding"	"TNFRSF12A"	51330
"ENSG00000006377"	"ENSG00000006377.11"	"protein_coding"	"DLX6"	1750
"ENSG00000006432"	"ENSG00000006432.15"	"protein_coding"	"MAP3K9"	4293
"ENSG00000006451"	"ENSG00000006451.8"	"protein_coding"	"RALA"	5898
"ENSG00000006453"	"ENSG00000006453.14"	"protein_coding"	"BAIAP2L1"	55971
"ENSG00000006459"	"ENSG00000006459.11"	"protein_coding"	"KDM7A"	80853
"ENSG00000006468"	"ENSG00000006468.14"	"protein_coding"	"ETV1"	2115
"ENSG00000006530"	"ENSG00000006530.18"	"protein_coding"	"AGK"	55750
"ENSG00000006534"	"ENSG00000006534.16"	"protein_coding"	"ALDH3B1"	221
"ENSG00000006555"	"ENSG00000006555.11"	"protein_coding"	"TTC22"	55001
"ENSG00000006576"	"ENSG00000006576.16"	"protein_coding"	"PHTF2"	57157
"ENSG00000006606"	"ENSG00000006606.8"	"protein_coding"	"CCL26"	10344
"ENSG00000006607"	"ENSG00000006607.14"	"protein_coding"	"FARP2"	9855
"ENSG00000006611"	"ENSG00000006611.16"	"protein_coding"	"USH1C"	10083
"ENSG00000006625"	"ENSG00000006625.18"	"protein_coding"	"GGCT"	79017
"ENSG00000006634"	"ENSG00000006634.8"	"protein_coding"	"DBF4"	10926
"ENSG00000006638"	"ENSG00000006638.11"	"protein_coding"	"TBXA2R"	6915
"ENSG00000006652"	"ENSG00000006652.14"	"protein_coding"	"IFRD1"	3475
"ENSG00000006659"	"ENSG00000006659.13"	"protein_coding"	"LGALS14"	56891
"ENSG00000006695"	"ENSG00000006695.12"	"protein_coding"	"COX10"	1352
"ENSG00000006704"	"ENSG00000006704.10"	"protein_coding"	"GTF2IRD1"	9569
"ENSG00000006712"	"ENSG00000006712.15"	"protein_coding"	"PAF1"	54623
"ENSG00000006715"	"ENSG00000006715.16"	"protein_coding"	"VPS41"	27072
"ENSG00000006740"	"ENSG00000006740.17"	"protein_coding"	"ARHGAP44"	9912
"ENSG00000006744"	"ENSG00000006744.19"	"protein_coding"	"ELAC2"	60528
"ENSG00000006747"	"ENSG00000006747.15"	"protein_coding"	"SCIN"	85477
"ENSG00000006756"	"ENSG00000006756.16"	"protein_coding"	"ARSD"	414
"ENSG00000006757"	"ENSG00000006757.12"	"protein_coding"	"PNPLA4"	8228
"ENSG00000006788"	"ENSG00000006788.14"	"protein_coding"	"MYH13"	8735
"ENSG00000006831"	"ENSG00000006831.10"	"protein_coding"	"ADIPOR2"	79602
"ENSG00000006837"	"ENSG00000006837.12"	"protein_coding"	"CDKL3"	51265
"ENSG00000007001"	"ENSG00000007001.12"	"protein_coding"	"UPP2"	151531
"ENSG00000007038"	"ENSG00000007038.11"	"protein_coding"	"PRSS21"	10942
"ENSG00000007047"	"ENSG00000007047.15"	"protein_coding"	"MARK4"	57787
"ENSG00000007062"	"ENSG00000007062.11"	"protein_coding"	"PROM1"	8842
"ENSG00000007080"	"ENSG00000007080.11"	"protein_coding"	"CCDC124"	115098
"ENSG00000007129"	"ENSG00000007129.18"	"protein_coding"	"CEACAM21"	90273
"ENSG00000007168"	"ENSG00000007168.13"	"protein_coding"	"PAFAH1B1"	5048
"ENSG00000007171"	"ENSG00000007171.18"	"protein_coding"	"NOS2"	4843
"ENSG00000007174"	"ENSG00000007174.18"	"protein_coding"	"DNAH9"	1770
"ENSG00000007202"	"ENSG00000007202.15"	"protein_coding"	"KIAA0100"	9703
"ENSG00000007216"	"ENSG00000007216.14"	"protein_coding"	"SLC13A2"	9058
"ENSG00000007237"	"ENSG00000007237.18"	"protein_coding"	"GAS7"	8522
"ENSG00000007255"	"ENSG00000007255.10"	"protein_coding"	"TRAPPC6A"	79090
"ENSG00000007264"	"ENSG00000007264.15"	"protein_coding"	"MATK"	4145
"ENSG00000007306"	"ENSG00000007306.15"	"protein_coding"	"CEACAM7"	1087
"ENSG00000007312"	"ENSG00000007312.12"	"protein_coding"	"CD79B"	974
"ENSG00000007314"	"ENSG00000007314.12"	"protein_coding"	"SCN4A"	6329
"ENSG00000007341"	"ENSG00000007341.19"	"protein_coding"	"ST7L"	54879
"ENSG00000007350"	"ENSG00000007350.17"	"protein_coding"	"TKTL1"	8277
"ENSG00000007372"	"ENSG00000007372.23"	"protein_coding"	"PAX6"	5080
"ENSG00000007376"	"ENSG00000007376.8"	"protein_coding"	"RPUSD1"	113000
"ENSG00000007384"	"ENSG00000007384.15"	"protein_coding"	"RHBDF1"	64285
"ENSG00000007392"	"ENSG00000007392.16"	"protein_coding"	"LUC7L"	55692
"ENSG00000007402"	"ENSG00000007402.11"	"protein_coding"	"CACNA2D2"	9254
"ENSG00000007516"	"ENSG00000007516.13"	"protein_coding"	"BAIAP3"	8938
"ENSG00000007520"	"ENSG00000007520.4"	"protein_coding"	"TSR3"	115939
"ENSG00000007541"	"ENSG00000007541.16"	"protein_coding"	"PIGQ"	9091
"ENSG00000007545"	"ENSG00000007545.15"	"protein_coding"	"CRAMP1"	57585
"ENSG00000007866"	"ENSG00000007866.21"	"protein_coding"	"TEAD3"	7005
"ENSG00000007908"	"ENSG00000007908.16"	"protein_coding"	"SELE"	6401
"ENSG00000007923"	"ENSG00000007923.16"	"protein_coding"	"DNAJC11"	55735
"ENSG00000007933"	"ENSG00000007933.13"	"protein_coding"	"FMO3"	2328
"ENSG00000007944"	"ENSG00000007944.15"	"protein_coding"	"MYLIP"	29116
"ENSG00000007952"	"ENSG00000007952.18"	"protein_coding"	"NOX1"	27035
"ENSG00000007968"	"ENSG00000007968.7"	"protein_coding"	"E2F2"	1870
"ENSG00000008018"	"ENSG00000008018.9"	"protein_coding"	"PSMB1"	5689
"ENSG00000008056"	"ENSG00000008056.14"	"protein_coding"	"SYN1"	6853
"ENSG00000008083"	"ENSG00000008083.14"	"protein_coding"	"JARID2"	3720
"ENSG00000008086"	"ENSG00000008086.12"	"protein_coding"	"CDKL5"	6792
"ENSG00000008118"	"ENSG00000008118.10"	"protein_coding"	"CAMK1G"	57172
"ENSG00000008128"	"ENSG00000008128.23"	"protein_coding"	"CDK11A"	728642
"ENSG00000008130"	"ENSG00000008130.15"	"protein_coding"	"NADK"	65220
"ENSG00000008196"	"ENSG00000008196.13"	"protein_coding"	"TFAP2B"	7021
"ENSG00000008197"	"ENSG00000008197.4"	"protein_coding"	"TFAP2D"	83741
"ENSG00000008226"	"ENSG00000008226.20"	"protein_coding"	"DLEC1"	9940
"ENSG00000008256"	"ENSG00000008256.16"	"protein_coding"	"CYTH3"	9265
"ENSG00000008277"	"ENSG00000008277.14"	"protein_coding"	"ADAM22"	53616
"ENSG00000008282"	"ENSG00000008282.8"	"protein_coding"	"SYPL1"	6856
"ENSG00000008283"	"ENSG00000008283.16"	"protein_coding"	"CYB561"	1534
"ENSG00000008294"	"ENSG00000008294.21"	"protein_coding"	"SPAG9"	9043
"ENSG00000008300"	"ENSG00000008300.17"	"protein_coding"	"CELSR3"	1951
"ENSG00000008311"	"ENSG00000008311.15"	"protein_coding"	"AASS"	10157
"ENSG00000008323"	"ENSG00000008323.15"	"protein_coding"	"PLEKHG6"	55200
"ENSG00000008324"	"ENSG00000008324.11"	"protein_coding"	"SS18L2"	51188
"ENSG00000008382"	"ENSG00000008382.15"	"protein_coding"	"MPND"	84954
"ENSG00000008394"	"ENSG00000008394.13"	"protein_coding"	"MGST1"	4257
"ENSG00000008405"	"ENSG00000008405.12"	"protein_coding"	"CRY1"	1407
"ENSG00000008438"	"ENSG00000008438.5"	"protein_coding"	"PGLYRP1"	8993
"ENSG00000008441"	"ENSG00000008441.16"	"protein_coding"	"NFIX"	4784
"ENSG00000008513"	"ENSG00000008513.16"	"protein_coding"	"ST3GAL1"	6482
"ENSG00000008516"	"ENSG00000008516.17"	"protein_coding"	"MMP25"	64386
"ENSG00000008517"	"ENSG00000008517.16"	"protein_coding"	"IL32"	9235
"ENSG00000008710"	"ENSG00000008710.19"	"protein_coding"	"PKD1"	5310
"ENSG00000008735"	"ENSG00000008735.14"	"protein_coding"	"MAPK8IP2"	23542
"ENSG00000008838"	"ENSG00000008838.20"	"protein_coding"	"MED24"	9862
"ENSG00000008853"	"ENSG00000008853.16"	"protein_coding"	"RHOBTB2"	23221
"ENSG00000008869"	"ENSG00000008869.12"	"protein_coding"	"HEATR5B"	54497
"ENSG00000008952"	"ENSG00000008952.17"	"protein_coding"	"SEC62"	7095
"ENSG00000008988"	"ENSG00000008988.9"	"protein_coding"	"RPS20"	6224
"ENSG00000009307"	"ENSG00000009307.16"	"protein_coding"	"CSDE1"	7812
"ENSG00000009335"	"ENSG00000009335.18"	"protein_coding"	"UBE3C"	9690
"ENSG00000009413"	"ENSG00000009413.15"	"protein_coding"	"REV3L"	5980
"ENSG00000009694"	"ENSG00000009694.13"	"protein_coding"	"TENM1"	10178
"ENSG00000009709"	"ENSG00000009709.12"	"protein_coding"	"PAX7"	5081
"ENSG00000009724"	"ENSG00000009724.17"	"protein_coding"	"MASP2"	10747
"ENSG00000009765"	"ENSG00000009765.14"	"protein_coding"	"IYD"	389434
"ENSG00000009780"	"ENSG00000009780.15"	"protein_coding"	"FAM76A"	199870
"ENSG00000009790"	"ENSG00000009790.15"	"protein_coding"	"TRAF3IP3"	80342
"ENSG00000009830"	"ENSG00000009830.11"	"protein_coding"	"POMT2"	29954
"ENSG00000009844"	"ENSG00000009844.16"	"protein_coding"	"VTA1"	51534
"ENSG00000009950"	"ENSG00000009950.16"	"protein_coding"	"MLXIPL"	51085
"ENSG00000009954"	"ENSG00000009954.11"	"protein_coding"	"BAZ1B"	9031
"ENSG00000010017"	"ENSG00000010017.13"	"protein_coding"	"RANBP9"	10048
"ENSG00000010030"	"ENSG00000010030.14"	"protein_coding"	"ETV7"	51513
"ENSG00000010072"	"ENSG00000010072.16"	"protein_coding"	"SPRTN"	83932
"ENSG00000010165"	"ENSG00000010165.20"	"protein_coding"	"EEF1AKNMT"	51603
"ENSG00000010219"	"ENSG00000010219.13"	"protein_coding"	"DYRK4"	8798
"ENSG00000010244"	"ENSG00000010244.18"	"protein_coding"	"ZNF207"	7756
"ENSG00000010256"	"ENSG00000010256.11"	"protein_coding"	"UQCRC1"	7384
"ENSG00000010270"	"ENSG00000010270.13"	"protein_coding"	"STARD3NL"	83930
"ENSG00000010278"	"ENSG00000010278.14"	"protein_coding"	"CD9"	928
"ENSG00000010282"	"ENSG00000010282.15"	"protein_coding"	"HHATL"	57467
"ENSG00000010292"	"ENSG00000010292.13"	"protein_coding"	"NCAPD2"	9918
"ENSG00000010295"	"ENSG00000010295.19"	"protein_coding"	"IFFO1"	25900
"ENSG00000010310"	"ENSG00000010310.9"	"protein_coding"	"GIPR"	2696
"ENSG00000010318"	"ENSG00000010318.21"	"protein_coding"	"PHF7"	51533
"ENSG00000010319"	"ENSG00000010319.7"	"protein_coding"	"SEMA3G"	56920
"ENSG00000010322"	"ENSG00000010322.16"	"protein_coding"	"NISCH"	11188
"ENSG00000010327"	"ENSG00000010327.10"	"protein_coding"	"STAB1"	23166
"ENSG00000010361"	"ENSG00000010361.14"	"protein_coding"	"FUZ"	80199
"ENSG00000010379"	"ENSG00000010379.16"	"protein_coding"	"SLC6A13"	6540
"ENSG00000010404"	"ENSG00000010404.18"	"protein_coding"	"IDS"	3423
"ENSG00000010438"	"ENSG00000010438.16"	"protein_coding"	"PRSS3"	5646
"ENSG00000010539"	"ENSG00000010539.11"	"protein_coding"	"ZNF200"	7752
"ENSG00000010610"	"ENSG00000010610.10"	"protein_coding"	"CD4"	920
"ENSG00000010626"	"ENSG00000010626.15"	"protein_coding"	"LRRC23"	10233
"ENSG00000010671"	"ENSG00000010671.15"	"protein_coding"	"BTK"	695
"ENSG00000010704"	"ENSG00000010704.18"	"protein_coding"	"HFE"	3077
"ENSG00000010803"	"ENSG00000010803.16"	"protein_coding"	"SCMH1"	22955
"ENSG00000010810"	"ENSG00000010810.17"	"protein_coding"	"FYN"	2534
"ENSG00000010818"	"ENSG00000010818.10"	"protein_coding"	"HIVEP2"	3097
"ENSG00000010932"	"ENSG00000010932.17"	"protein_coding"	"FMO1"	2326
"ENSG00000011007"	"ENSG00000011007.12"	"protein_coding"	"ELOA"	6924
"ENSG00000011009"	"ENSG00000011009.11"	"protein_coding"	"LYPLA2"	11313
"ENSG00000011021"	"ENSG00000011021.23"	"protein_coding"	"CLCN6"	1185
"ENSG00000011028"	"ENSG00000011028.14"	"protein_coding"	"MRC2"	9902
"ENSG00000011052"	"ENSG00000011052.21"	"protein_coding"	"NME1-NME2"	654364
"ENSG00000011083"	"ENSG00000011083.9"	"protein_coding"	"SLC6A7"	6534
"ENSG00000011105"	"ENSG00000011105.14"	"protein_coding"	"TSPAN9"	10867
"ENSG00000011114"	"ENSG00000011114.15"	"protein_coding"	"BTBD7"	55727
"ENSG00000011132"	"ENSG00000011132.12"	"protein_coding"	"APBA3"	9546
"ENSG00000011143"	"ENSG00000011143.16"	"protein_coding"	"MKS1"	54903
"ENSG00000011198"	"ENSG00000011198.10"	"protein_coding"	"ABHD5"	51099
"ENSG00000011201"	"ENSG00000011201.12"	"protein_coding"	"ANOS1"	3730
"ENSG00000011243"	"ENSG00000011243.18"	"protein_coding"	"AKAP8L"	26993
"ENSG00000011258"	"ENSG00000011258.16"	"protein_coding"	"MBTD1"	54799
"ENSG00000011260"	"ENSG00000011260.14"	"protein_coding"	"UTP18"	51096
"ENSG00000011275"	"ENSG00000011275.18"	"protein_coding"	"RNF216"	54476
"ENSG00000011295"	"ENSG00000011295.16"	"protein_coding"	"TTC19"	54902
"ENSG00000011304"	"ENSG00000011304.20"	"protein_coding"	"PTBP1"	5725
"ENSG00000011332"	"ENSG00000011332.19"	"protein_coding"	"DPF1"	8193
"ENSG00000011347"	"ENSG00000011347.9"	"protein_coding"	"SYT7"	9066
"ENSG00000011376"	"ENSG00000011376.12"	"protein_coding"	"LARS2"	23395
"ENSG00000011405"	"ENSG00000011405.13"	"protein_coding"	"PIK3C2A"	5286
"ENSG00000011422"	"ENSG00000011422.12"	"protein_coding"	"PLAUR"	5329
"ENSG00000011426"	"ENSG00000011426.11"	"protein_coding"	"ANLN"	54443
"ENSG00000011451"	"ENSG00000011451.19"	"protein_coding"	"WIZ"	58525
"ENSG00000011454"	"ENSG00000011454.17"	"protein_coding"	"RABGAP1"	23637
"ENSG00000011465"	"ENSG00000011465.17"	"protein_coding"	"DCN"	1634
"ENSG00000011478"	"ENSG00000011478.12"	"protein_coding"	"QPCTL"	54814
"ENSG00000011485"	"ENSG00000011485.15"	"protein_coding"	"PPP5C"	5536
"ENSG00000011523"	"ENSG00000011523.14"	"protein_coding"	"CEP68"	23177
"ENSG00000011566"	"ENSG00000011566.15"	"protein_coding"	"MAP4K3"	8491
"ENSG00000011590"	"ENSG00000011590.14"	"protein_coding"	"ZBTB32"	27033
"ENSG00000011600"	"ENSG00000011600.11"	"protein_coding"	"TYROBP"	7305
"ENSG00000011638"	"ENSG00000011638.10"	"protein_coding"	"TMEM159"	57146
"ENSG00000011677"	"ENSG00000011677.13"	"protein_coding"	"GABRA3"	2556
"ENSG00000012048"	"ENSG00000012048.22"	"protein_coding"	"BRCA1"	672
"ENSG00000012061"	"ENSG00000012061.15"	"protein_coding"	"ERCC1"	2067
"ENSG00000012124"	"ENSG00000012124.17"	"protein_coding"	"CD22"	933
"ENSG00000012171"	"ENSG00000012171.20"	"protein_coding"	"SEMA3B"	7869
"ENSG00000012174"	"ENSG00000012174.12"	"protein_coding"	"MBTPS2"	51360
"ENSG00000012211"	"ENSG00000012211.13"	"protein_coding"	"PRICKLE3"	4007
"ENSG00000012223"	"ENSG00000012223.13"	"protein_coding"	"LTF"	4057
"ENSG00000012232"	"ENSG00000012232.9"	"protein_coding"	"EXTL3"	2137
"ENSG00000012504"	"ENSG00000012504.15"	"protein_coding"	"NR1H4"	9971
"ENSG00000012660"	"ENSG00000012660.14"	"protein_coding"	"ELOVL5"	60481
"ENSG00000012779"	"ENSG00000012779.11"	"protein_coding"	"ALOX5"	240
"ENSG00000012817"	"ENSG00000012817.15"	"protein_coding"	"KDM5D"	8284
"ENSG00000012822"	"ENSG00000012822.16"	"protein_coding"	"CALCOCO1"	57658
"ENSG00000012963"	"ENSG00000012963.15"	"protein_coding"	"UBR7"	55148
"ENSG00000012983"	"ENSG00000012983.11"	"protein_coding"	"MAP4K5"	11183
