ensembl_id	entrezgene_id	genesymbol	biotype	Length
102	ENSG00000005486	57414	RHBDD2	protein_coding	2441
103	ENSG00000005513	30812	SOX8	protein_coding	3049
104	ENSG00000005700	25998	IBTK	protein_coding	6187
105	ENSG00000005801	7748	ZNF195	protein_coding	5239
106	ENSG00000005810	23077	MYCBP2	protein_coding	14888
107	ENSG00000005812	26224	FBXL3	protein_coding	4162
108	ENSG00000005844	3683	ITGAL	protein_coding	5208
109	ENSG00000005882	5164	PDK2	protein_coding	2151
110	ENSG00000005884	3675	ITGA3	protein_coding	5119
111	ENSG00000005889	7543	ZFX	protein_coding	9011
112	ENSG00000005893	3920	LAMP2	protein_coding	5617
113	ENSG00000005955	NA	GGNBP2	protein_coding	5243
114	ENSG00000005961	3674	ITGA2B	protein_coding	3569
115	ENSG00000005981	51666	ASB4	protein_coding	4605
116	ENSG00000006007	51573	GDE1	protein_coding	3866
117	ENSG00000006015	55049	C19orf60	protein_coding	858
118	ENSG00000006016	9244	CRLF1	protein_coding	2305
119	ENSG00000006025	114881	OSBPL7	protein_coding	4290
120	ENSG00000006042	26022	TMEM98	protein_coding	5127
121	ENSG00000006047	51087	YBX2	protein_coding	1880
122	ENSG00000006059	3883	KRT33A	protein_coding	1287
123	ENSG00000006062	9020	MAP3K14	processed_transcript	4062
124	ENSG00000006071	6833	ABCC8	protein_coding	5717
125	ENSG00000006074	NA	CCL18	protein_coding	1324
126	ENSG00000006075	NA	CCL3	protein_coding	310
127	ENSG00000006114	NA	SYNRG	protein_coding	8991
128	ENSG00000006116	10368	CACNG3	protein_coding	3088
129	ENSG00000006118	54972	TMEM132A	protein_coding	5066
130	ENSG00000006125	163	AP2B1	protein_coding	7519
131	ENSG00000006128	6863	TAC1	protein_coding	1239
132	ENSG00000006194	10127	ZNF263	protein_coding	7033
133	ENSG00000006210	6376	CX3CL1	protein_coding	5983
134	ENSG00000006282	64847	SPATA20	protein_coding	3542
135	ENSG00000006283	8913	CACNA1G	protein_coding	9400
136	ENSG00000006327	51330	TNFRSF12A	protein_coding	1408
137	ENSG00000006377	1750	DLX6	protein_coding	2200
138	ENSG00000006432	4293	MAP3K9	protein_coding	11987
139	ENSG00000006451	5898	RALA	protein_coding	3665
140	ENSG00000006453	55971	BAIAP2L1	protein_coding	3459
141	ENSG00000006459	80853	JHDM1D	protein_coding	9366
142	ENSG00000006468	2115	ETV1	protein_coding	8465
143	ENSG00000006530	55750	AGK	protein_coding	5048
144	ENSG00000006534	221	ALDH3B1	protein_coding	3553
145	ENSG00000006555	55001	TTC22	protein_coding	4439
146	ENSG00000006576	57157	PHTF2	protein_coding	7345
147	ENSG00000006606	10344	CCL26	protein_coding	706
148	ENSG00000006607	9855	FARP2	protein_coding	10616
149	ENSG00000006611	10083	USH1C	protein_coding	4018
150	ENSG00000006625	79017	GGCT	protein_coding	1597
151	ENSG00000006634	10926	DBF4	protein_coding	3778
152	ENSG00000006638	6915	TBXA2R	protein_coding	2793
153	ENSG00000006652	3475	IFRD1	protein_coding	5720
154	ENSG00000006659	56891	LGALS14	protein_coding	1079
155	ENSG00000006695	1352	COX10	protein_coding	3172
156	ENSG00000006704	9569	GTF2IRD1	protein_coding	6414
157	ENSG00000006712	54623	PAF1	protein_coding	2213
158	ENSG00000006715	27072	VPS41	protein_coding	7126
159	ENSG00000006740	9912	ARHGAP44	protein_coding	4335
160	ENSG00000006744	60528	ELAC2	protein_coding	3457
161	ENSG00000006747	85477	SCIN	protein_coding	4085
162	ENSG00000006756	414	ARSD	protein_coding	5994
163	ENSG00000006757	8228	PNPLA4	protein_coding	3441
164	ENSG00000006788	8735	MYH13	protein_coding	6242
165	ENSG00000006831	79602	ADIPOR2	protein_coding	5878
166	ENSG00000006837	51265	CDKL3	protein_coding	3163
167	ENSG00000007001	151531	UPP2	protein_coding	2957
168	ENSG00000007038	10942	PRSS21	protein_coding	1640
169	ENSG00000007047	57787	MARK4	protein_coding	5339
170	ENSG00000007062	8842	PROM1	protein_coding	6436
171	ENSG00000007080	115098	CCDC124	protein_coding	1247
172	ENSG00000007129	90273	CEACAM21	protein_coding	1893
173	ENSG00000007168	5048	PAFAH1B1	protein_coding	5913
174	ENSG00000007171	4843	NOS2	protein_coding	4176
175	ENSG00000007174	1770	DNAH9	protein_coding	16340
176	ENSG00000007202	9703	KIAA0100	protein_coding	6216
177	ENSG00000007216	9058	SLC13A2	protein_coding	3226
178	ENSG00000007237	8522	GAS7	protein_coding	9875
179	ENSG00000007255	79090	TRAPPC6A	protein_coding	805
180	ENSG00000007264	4145	MATK	protein_coding	4138
181	ENSG00000007306	1087	CEACAM7	protein_coding	2649
182	ENSG00000007312	974	CD79B	protein_coding	1272
183	ENSG00000007314	6329	SCN4A	protein_coding	7809
184	ENSG00000007341	54879	ST7L	protein_coding	4826
185	ENSG00000007350	8277	TKTL1	protein_coding	3650
186	ENSG00000007372	5080	PAX6	protein_coding	9562
187	ENSG00000007376	113000	RPUSD1	protein_coding	2627
188	ENSG00000007384	64285	RHBDF1	protein_coding	3512
189	ENSG00000007392	55692	LUC7L	protein_coding	3803
190	ENSG00000007402	9254	CACNA2D2	protein_coding	5618
191	ENSG00000007516	8938	BAIAP3	protein_coding	4882
192	ENSG00000007520	115939	TSR3	protein_coding	1044
193	ENSG00000007541	9091	PIGQ	protein_coding	5340
194	ENSG00000007545	57585	CRAMP1L	protein_coding	7638
195	ENSG00000007866	7005	TEAD3	protein_coding	3046
196	ENSG00000007908	6401	SELE	protein_coding	3976
197	ENSG00000007923	55735	DNAJC11	protein_coding	3728
198	ENSG00000007933	2328	FMO3	protein_coding	3463
199	ENSG00000007944	29116	MYLIP	protein_coding	3033
200	ENSG00000007952	27035	NOX1	protein_coding	2529
201	ENSG00000007968	1870	E2F2	protein_coding	5457
202	ENSG00000008018	5689	PSMB1	protein_coding	2256
203	ENSG00000008056	6853	SYN1	protein_coding	3198
204	ENSG00000008083	3720	JARID2	protein_coding	6490
205	ENSG00000008086	6792	CDKL5	protein_coding	3448
206	ENSG00000008118	57172	CAMK1G	protein_coding	2676
207	ENSG00000008128	728642	CDK11A	protein_coding	3306
208	ENSG00000008130	65220	NADK	protein_coding	4599
209	ENSG00000008196	7021	TFAP2B	protein_coding	6149
210	ENSG00000008197	83741	TFAP2D	protein_coding	1856
211	ENSG00000008226	9940	DLEC1	protein_coding	5935
212	ENSG00000008256	9265	CYTH3	protein_coding	5399
213	ENSG00000008277	53616	ADAM22	protein_coding	12217
214	ENSG00000008282	6856	SYPL1	protein_coding	2371
215	ENSG00000008283	1534	CYB561	protein_coding	4648
216	ENSG00000008294	9043	SPAG9	protein_coding	8988
217	ENSG00000008300	1951	CELSR3	protein_coding	11906
218	ENSG00000008311	10157	AASS	protein_coding	3638
219	ENSG00000008323	55200	PLEKHG6	protein_coding	4260
220	ENSG00000008324	51188	SS18L2	protein_coding	937
221	ENSG00000008382	84954	MPND	protein_coding	1574
222	ENSG00000008394	4257	MGST1	protein_coding	5773
223	ENSG00000008405	1407	CRY1	protein_coding	3593
224	ENSG00000008438	8993	PGLYRP1	protein_coding	720
225	ENSG00000008441	4784	NFIX	protein_coding	6235
226	ENSG00000008513	6482	ST3GAL1	protein_coding	8478
227	ENSG00000008516	64386	MMP25	protein_coding	2533
228	ENSG00000008517	9235	IL32	protein_coding	1830
229	ENSG00000008710	5310	PKD1	protein_coding	14301
230	ENSG00000008735	23542	MAPK8IP2	protein_coding	6107
231	ENSG00000008838	9862	MED24	protein_coding	5450
232	ENSG00000008853	23221	RHOBTB2	protein_coding	4473
233	ENSG00000008869	54497	HEATR5B	protein_coding	7124
234	ENSG00000008952	7095	SEC62	protein_coding	6965
235	ENSG00000008988	6224	RPS20	protein_coding	2640
236	ENSG00000009307	7812	CSDE1	protein_coding	5147
237	ENSG00000009335	9690	UBE3C	protein_coding	5687
238	ENSG00000009413	5980	REV3L	protein_coding	10866
239	ENSG00000009694	10178	TENM1	protein_coding	12655
240	ENSG00000009709	5081	PAX7	protein_coding	6313
241	ENSG00000009724	10747	MASP2	protein_coding	2530
242	ENSG00000009765	389434	IYD	protein_coding	10275
243	ENSG00000009780	199870	FAM76A	protein_coding	4034
244	ENSG00000009790	80342	TRAF3IP3	protein_coding	3954
245	ENSG00000009830	29954	POMT2	protein_coding	6133
246	ENSG00000009844	51534	VTA1	protein_coding	7194
247	ENSG00000009950	51085	MLXIPL	protein_coding	3766
248	ENSG00000009954	9031	BAZ1B	protein_coding	6595
249	ENSG00000010017	10048	RANBP9	protein_coding	3133
250	ENSG00000010030	51513	ETV7	protein_coding	2369
251	ENSG00000010072	83932	SPRTN	protein_coding	5157
252	ENSG00000010165	51603	METTL13	protein_coding	3843
253	ENSG00000010219	8798	DYRK4	protein_coding	3922
254	ENSG00000010244	7756	ZNF207	protein_coding	14207
255	ENSG00000010256	7384	UQCRC1	protein_coding	2198
256	ENSG00000010270	83930	STARD3NL	protein_coding	2320
257	ENSG00000010278	928	CD9	protein_coding	3218
258	ENSG00000010282	57467	HHATL	protein_coding	1930
259	ENSG00000010292	9918	NCAPD2	protein_coding	5930
260	ENSG00000010295	25900	IFFO1	protein_coding	3918
261	ENSG00000010310	2696	GIPR	protein_coding	3776
262	ENSG00000010318	51533	PHF7	protein_coding	2239
263	ENSG00000010319	56920	SEMA3G	protein_coding	5011
264	ENSG00000010322	11188	NISCH	protein_coding	7578
265	ENSG00000010327	23166	STAB1	protein_coding	7802
266	ENSG00000010361	80199	FUZ	protein_coding	1901
267	ENSG00000010379	6540	SLC6A13	protein_coding	3372
268	ENSG00000010404	3423	IDS	protein_coding	9212
269	ENSG00000010438	5646	PRSS3	protein_coding	1542
270	ENSG00000010539	7752	ZNF200	protein_coding	3867
271	ENSG00000010610	920	CD4	protein_coding	4122
272	ENSG00000010626	10233	LRRC23	protein_coding	2400
273	ENSG00000010671	695	BTK	protein_coding	3487
274	ENSG00000010704	3077	HFE	protein_coding	5357
275	ENSG00000010803	22955	SCMH1	protein_coding	4447
276	ENSG00000010810	2534	FYN	protein_coding	5842
277	ENSG00000010818	3097	HIVEP2	protein_coding	9520
278	ENSG00000010932	2326	FMO1	protein_coding	3412
279	ENSG00000011007	6924	TCEB3	protein_coding	4621
280	ENSG00000011009	11313	LYPLA2	protein_coding	2196
281	ENSG00000011021	1185	CLCN6	protein_coding	6493
282	ENSG00000011028	9902	MRC2	protein_coding	6618
283	ENSG00000011083	6534	SLC6A7	protein_coding	3969
284	ENSG00000011105	10867	TSPAN9	protein_coding	5223
285	ENSG00000011114	55727	BTBD7	protein_coding	9648
286	ENSG00000011132	9546	APBA3	protein_coding	2013
287	ENSG00000011143	54903	MKS1	protein_coding	2895
288	ENSG00000011198	51099	ABHD5	protein_coding	2650
289	ENSG00000011201	3730	KAL1	protein_coding	7131
290	ENSG00000011243	26993	AKAP8L	protein_coding	2817
291	ENSG00000011258	54799	MBTD1	protein_coding	7157
292	ENSG00000011260	51096	UTP18	protein_coding	2011
293	ENSG00000011275	54476	RNF216	protein_coding	7426
294	ENSG00000011295	54902	TTC19	protein_coding	3789
295	ENSG00000011304	5725	PTBP1	protein_coding	3809
296	ENSG00000011332	8193	DPF1	protein_coding	3314
297	ENSG00000011347	9066	SYT7	protein_coding	5904
298	ENSG00000011376	23395	LARS2	protein_coding	5393
299	ENSG00000011405	5286	PIK3C2A	protein_coding	9146
300	ENSG00000011422	5329	PLAUR	protein_coding	3446
301	ENSG00000011426	54443	ANLN	protein_coding	5208
302	ENSG00000011451	58525	WIZ	protein_coding	7640
303	ENSG00000011454	2844	RABGAP1	protein_coding	6271
304	ENSG00000011465	1634	DCN	protein_coding	8083
305	ENSG00000011478	54814	QPCTL	protein_coding	2256
306	ENSG00000011485	5536	PPP5C	protein_coding	2374
307	ENSG00000011523	23177	CEP68	protein_coding	7997
308	ENSG00000011566	8491	MAP4K3	protein_coding	5004
309	ENSG00000011590	27033	ZBTB32	protein_coding	2770
310	ENSG00000011600	7305	TYROBP	protein_coding	670
311	ENSG00000011638	57146	TMEM159	protein_coding	2558
312	ENSG00000011677	2556	GABRA3	protein_coding	4193
313	ENSG00000012048	672	BRCA1	protein_coding	7541
314	ENSG00000012061	2067	ERCC1	protein_coding	3530
315	ENSG00000012124	933	CD22	protein_coding	3816
316	ENSG00000012171	7869	SEMA3B	processed_transcript	3740
317	ENSG00000012174	51360	MBTPS2	protein_coding	7732
318	ENSG00000012211	4007	PRICKLE3	protein_coding	2958
319	ENSG00000012223	4057	LTF	protein_coding	3956
320	ENSG00000012232	2137	EXTL3	protein_coding	7718
321	ENSG00000012504	9971	NR1H4	protein_coding	3460
322	ENSG00000012660	60481	ELOVL5	protein_coding	4223
323	ENSG00000012779	240	ALOX5	protein_coding	3685
324	ENSG00000012817	8284	KDM5D	protein_coding	5581
325	ENSG00000012822	57658	CALCOCO1	protein_coding	4762
326	ENSG00000012963	55148	UBR7	protein_coding	3655
327	ENSG00000012983	11183	MAP4K5	protein_coding	4322
328	ENSG00000013016	30845	EHD3	protein_coding	4959
329	ENSG00000013275	5704	PSMC4	protein_coding	1591
330	ENSG00000013288	23324	MAN2B2	protein_coding	8898
331	ENSG00000013293	57709	SLC7A14	protein_coding	10249
332	ENSG00000013297	5010	CLDN11	protein_coding	5407
333	ENSG00000013306	51629	SLC25A39	protein_coding	2490
334	ENSG00000013364	9961	MVP	protein_coding	4386
335	ENSG00000013374	51667	NUB1	protein_coding	4487
336	ENSG00000013375	5238	PGM3	protein_coding	5874
337	ENSG00000013392	112611	RWDD2A	protein_coding	4686
338	ENSG00000013441	1195	CLK1	protein_coding	2699
339	ENSG00000013503	55703	POLR3B	protein_coding	4754
340	ENSG00000013523	23357	ANGEL1	protein_coding	5347
341	ENSG00000013561	9604	RNF14	protein_coding	4605
342	ENSG00000013563	1774	DNASE1L1	protein_coding	2252
343	ENSG00000013573	1663	DDX11	protein_coding	5291
344	ENSG00000013583	50865	HEBP1	protein_coding	2919
345	ENSG00000013588	9052	GPRC5A	protein_coding	7645
346	ENSG00000013619	10046	MAMLD1	protein_coding	5321
347	ENSG00000013725	923	CD6	protein_coding	3876
348	ENSG00000013810	10460	TACC3	protein_coding	2809
349	ENSG00000014123	23376	UFL1	protein_coding	4510
350	ENSG00000014138	23649	POLA2	protein_coding	4570
351	ENSG00000014164	23144	ZC3H3	protein_coding	3731
352	ENSG00000014216	823	CAPN1	protein_coding	4001
353	ENSG00000014257	55	ACPP	protein_coding	3807
354	ENSG00000014641	4190	MDH1	protein_coding	2897
355	ENSG00000014824	10463	SLC30A9	protein_coding	6335
356	ENSG00000014914	10903	MTMR11	protein_coding	4591
357	ENSG00000014919	1355	COX15	protein_coding	4177
358	ENSG00000015133	440193	CCDC88C	protein_coding	9578
359	ENSG00000015153	10138	YAF2	protein_coding	9498
360	ENSG00000015171	10771	ZMYND11	protein_coding	5180
361	ENSG00000015285	7454	WAS	protein_coding	2381
362	ENSG00000015413	1800	DPEP1	protein_coding	1891
363	ENSG00000015475	637	BID	protein_coding	2807
364	ENSG00000015479	9782	MATR3	protein_coding	8123
365	ENSG00000015520	29881	NPC1L1	protein_coding	5252
366	ENSG00000015532	64132	XYLT2	protein_coding	4481
367	ENSG00000015568	84220	RGPD5	protein_coding	8269
368	ENSG00000015592	81551	STMN4	protein_coding	3007
369	ENSG00000015676	23386	NUDCD3	protein_coding	9998
370	ENSG00000016082	3670	ISL1	protein_coding	2970
371	ENSG00000016391	55349	CHDH	protein_coding	6359
372	ENSG00000016402	53832	IL20RA	protein_coding	4673
373	ENSG00000016490	1179	CLCA1	protein_coding	3340
374	ENSG00000016602	22802	CLCA4	protein_coding	3575
375	ENSG00000016864	55830	GLT8D1	protein_coding	2664
376	ENSG00000017260	27032	ATP2C1	protein_coding	6866
377	ENSG00000017373	NA	SRCIN1	protein_coding	10550
378	ENSG00000017427	3479	IGF1	protein_coding	8087
379	ENSG00000017483	92745	SLC38A5	protein_coding	4016
380	ENSG00000017621	NA	MAGIX	protein_coding	4948
381	ENSG00000017797	10928	RALBP1	protein_coding	4979
382	ENSG00000018189	22902	RUFY3	protein_coding	7486
383	ENSG00000018236	1272	CNTN1	protein_coding	7492
384	ENSG00000018280	6556	SLC11A1	protein_coding	3926
385	ENSG00000018408	25937	WWTR1	protein_coding	7410
386	ENSG00000018510	8540	AGPS	protein_coding	7710
387	ENSG00000018607	NA	ZNF806	pseudogene	1774
388	ENSG00000018610	63932	CXorf56	protein_coding	2606
389	ENSG00000018625	477	ATP1A2	protein_coding	5545
390	ENSG00000018699	55622	TTC27	protein_coding	3185
391	ENSG00000018869	147948	ZNF582	protein_coding	3152
392	ENSG00000019102	23584	VSIG2	protein_coding	1323
393	ENSG00000019144	23187	PHLDB1	protein_coding	7343
394	ENSG00000019169	8685	MARCO	protein_coding	1972
395	ENSG00000019186	1591	CYP24A1	protein_coding	3972
396	ENSG00000019485	56981	PRDM11	protein_coding	5527
397	ENSG00000019505	57586	SYT13	protein_coding	5289
398	ENSG00000019549	6591	SNAI2	protein_coding	2282
399	ENSG00000019582	972	CD74	protein_coding	2358
400	ENSG00000019991	3082	HGF	protein_coding	8897
401	ENSG00000019995	54764	ZRANB1	protein_coding	5230
402	ENSG00000020129	23154	NCDN	protein_coding	4571
403	ENSG00000020181	25960	GPR124	protein_coding	5432
404	ENSG00000020219	NA	CCT8L1P	pseudogene	1674
405	ENSG00000020256	55734	ZFP64	protein_coding	6997
406	ENSG00000020426	4331	MNAT1	protein_coding	3071
407	ENSG00000020577	23034	SAMD4A	protein_coding	9591
408	ENSG00000020633	864	RUNX3	protein_coding	4605
409	ENSG00000020922	4361	MRE11A	protein_coding	3242
410	ENSG00000021300	58473	PLEKHB1	protein_coding	3722
411	ENSG00000021355	1992	SERPINB1	protein_coding	3226
412	ENSG00000021461	64816	CYP3A43	protein_coding	2020
413	ENSG00000021488	11136	SLC7A9	protein_coding	2397
414	ENSG00000021574	6683	SPAST	protein_coding	5213
415	ENSG00000021645	9369	NRXN3	protein_coding	11171
416	ENSG00000021762	114879	OSBPL5	protein_coding	6349
417	ENSG00000021776	9716	AQR	protein_coding	6811
418	ENSG00000021826	1373	CPS1	protein_coding	6508
419	ENSG00000021852	732	C8B	protein_coding	2405
420	ENSG00000022267	2273	FHL1	protein_coding	4945
421	ENSG00000022277	51507	RTFDC1	protein_coding	1918
422	ENSG00000022355	2554	GABRA1	protein_coding	5475
423	ENSG00000022556	55655	NLRP2	protein_coding	5187
424	ENSG00000022567	57210	SLC45A4	protein_coding	8543
425	ENSG00000022840	9921	RNF10	protein_coding	4782
426	ENSG00000022976	55778	ZNF839	protein_coding	4751
427	ENSG00000023041	64429	ZDHHC6	protein_coding	2404
428	ENSG00000023171	57476	GRAMD1B	protein_coding	9183
429	ENSG00000023191	6050	RNH1	protein_coding	5539
430	ENSG00000023228	4719	NDUFS1	protein_coding	10601
431	ENSG00000023287	9821	RB1CC1	protein_coding	7184
432	ENSG00000023318	23071	ERP44	protein_coding	4854
433	ENSG00000023330	211	ALAS1	protein_coding	2536
434	ENSG00000023445	330	BIRC3	protein_coding	7245
435	ENSG00000023516	11215	AKAP11	protein_coding	9913
436	ENSG00000023572	51022	GLRX2	protein_coding	1299
437	ENSG00000023608	6617	SNAPC1	protein_coding	2656
438	ENSG00000023697	51071	DERA	protein_coding	2787
439	ENSG00000023734	11171	STRAP	protein_coding	1909
440	ENSG00000023839	1244	ABCC2	protein_coding	6232
441	ENSG00000023892	50619	DEF6	protein_coding	2675
442	ENSG00000023902	51177	PLEKHO1	protein_coding	4320
443	ENSG00000023909	2730	GCLM	protein_coding	5374
444	ENSG00000024048	23304	UBR2	protein_coding	8997
445	ENSG00000024422	30846	EHD2	protein_coding	3923
446	ENSG00000024526	55635	DEPDC1	protein_coding	5135
447	ENSG00000024862	25901	CCDC28A	protein_coding	1496
448	ENSG00000025039	58528	RRAGD	protein_coding	5072
449	ENSG00000025156	3298	HSF2	protein_coding	2702
450	ENSG00000025293	51230	PHF20	protein_coding	7316
451	ENSG00000025423	8630	HSD17B6	protein_coding	2140
452	ENSG00000025434	10062	NR1H3	protein_coding	3646
453	ENSG00000025708	1890	TYMP	protein_coding	1341
454	ENSG00000025770	29781	NCAPH2	protein_coding	2604
455	ENSG00000025772	10953	TOMM34	protein_coding	2062
456	ENSG00000025796	11231	SEC63	protein_coding	6551
457	ENSG00000025800	23633	KPNA6	protein_coding	7020
458	ENSG00000026025	7431	VIM	protein_coding	3705
459	ENSG00000026103	355	FAS	protein_coding	2902
460	ENSG00000026297	8635	RNASET2	protein_coding	3068
461	ENSG00000026508	960	CD44	protein_coding	8335
462	ENSG00000026559	3755	KCNG1	protein_coding	5886
463	ENSG00000026652	56895	AGPAT4	protein_coding	9419
464	ENSG00000026751	57823	SLAMF7	protein_coding	2946
465	ENSG00000026950	11119	BTN3A1	protein_coding	4298
466	ENSG00000027001	4285	MIPEP	protein_coding	3284
467	ENSG00000027075	5583	PRKCH	protein_coding	8320
468	ENSG00000027644	3645	INSRR	protein_coding	5019
469	ENSG00000027697	3459	IFNGR1	protein_coding	2680
470	ENSG00000027847	11285	B4GALT7	protein_coding	2137
471	ENSG00000027869	9047	SH2D2A	protein_coding	2512
472	ENSG00000028116	7444	VRK2	protein_coding	3105
473	ENSG00000028137	7133	TNFRSF1B	protein_coding	3766
474	ENSG00000028203	55591	VEZT	protein_coding	7475
475	ENSG00000028277	5452	POU2F2	protein_coding	8701
476	ENSG00000028310	65980	BRD9	protein_coding	4435
477	ENSG00000028528	6642	SNX1	protein_coding	9244
478	ENSG00000028839	9519	TBPL1	protein_coding	3303
479	ENSG00000029153	56938	ARNTL2	protein_coding	4929
480	ENSG00000029363	9774	BCLAF1	protein_coding	8000
481	ENSG00000029364	55334	SLC39A9	protein_coding	5756
482	ENSG00000029534	286	ANK1	protein_coding	9478
483	ENSG00000029559	3381	IBSP	protein_coding	1033
484	ENSG00000029639	51106	TFB1M	protein_coding	2521
