ID	seqname	strand	start	stop	Geneid	hgnc_symbol	entrezgene_id	biotype
16940839	chr3	+	49977440	50114685	ENSG00000004534	RBM6	10180	protein_coding
16839853	chr17	-	3763609	3796338	ENSG00000004660	CAMKK1	84254	protein_coding
16762087	chr12	-	21621844	21654603	ENSG00000004700	RECQL	5965	protein_coding
17048388	chr7	+	92861653	92988338	ENSG00000004766	VPS50	55610	protein_coding
16871467	chr19	-	36245467	36247930	ENSG00000004776	HSPB6	126393	protein_coding
16861232	chr19	+	36266417	36279724	ENSG00000004777	ARHGAP33	115703	protein_coding
16825097	chr16	-	23592323	23607677	ENSG00000004779	NDUFAB1	4706	protein_coding
17059955	chr7	-	95212809	95225925	ENSG00000004799	PDK4	5166	protein_coding
16954455	chr3	-	50378537	50384283	ENSG00000004838	ZMYND10	51364	protein_coding
17044009	chr7	+	20654830	20816658	ENSG00000004846	ABCB5	340273	protein_coding
17109849	chrX	-	25021811	25034065	ENSG00000004848	ARX	170302	protein_coding
17117754	chr17	-	45212848	45213644	ENSG00000004897	CDC27	996	protein_coding
17101447	chrX	+	11129406	11141206	ENSG00000004961	HCCS	3052	protein_coding
16840550	chr17	-	7128660	7137868	ENSG00000004975	DVL2	1856	protein_coding
16823215	chr16	-	2902728	2908171	ENSG00000005001	PRSS22	64063	protein_coding
16859874	chr19	+	18942744	18979039	ENSG00000005007	UPF1	5976	protein_coding
17106574	chrX	+	118602363	118605359	ENSG00000005022	SLC25A5	292	protein_coding
17056181	chr7	-	27220776	27224842	ENSG00000005073	HOXA11	3207	protein_coding
17060983	chr7	-	102113547	102119381	ENSG00000005075	POLR2J	5439	protein_coding
16840293	chr17	-	5344232	5372380	ENSG00000005100	DHX33	56919	protein_coding
16845427	chr17	-	41717756	41739322	ENSG00000005102	MEOX1	4222	protein_coding
16833263	chr17	+	33307517	33332088	ENSG00000005156	LIG3	3980	protein_coding
16763626	chr12	-	48055715	48099844	ENSG00000005175	RPAP3	79657	protein_coding
16816601	chr16	+	20685853	20693496	ENSG00000005187	ACSM3	6296	protein_coding
16816627	chr16	+	20817767	20860990	ENSG00000005189	REXO5	81691	protein_coding
16826767	chr16	-	57462081	57481439	ENSG00000005194	CIAPIN1	57019	protein_coding
17093661	chr9	-	35104109	35115999	ENSG00000005238	FAM214B	80256	protein_coding
17050154	chr7	+	106685094	106802256	ENSG00000005249	PRKAR2B	5577	protein_coding
17101465	chrX	+	11776278	11793872	ENSG00000005302	MSL3	10943	protein_coding
16823433	chr16	-	3775055	3930722	ENSG00000005339	CREBBP	1387	protein_coding
16847050	chr17	-	56378592	56406152	ENSG00000005379	TSPOAP1	9256	protein_coding
17059895	chr7	-	94926988	94954019	ENSG00000005421	PON1	5444	protein_coding
16899429	chr2	-	75879126	75938115	ENSG00000005436	GCFC2	6936	protein_coding
16881687	chr2	+	74648805	74652882	ENSG00000005448	WDR54	84058	protein_coding
17047918	chr7	+	86974951	87029112	ENSG00000005469	CROT	54677	protein_coding
17059451	chr7	-	87031013	87109751	ENSG00000005471	ABCB4	5244	protein_coding
17050002	chr7	+	104654626	104754808	ENSG00000005483	KMT2E	55904	protein_coding
17047397	chr7	+	75471920	75518244	ENSG00000005486	RHBDD2	57414	protein_coding
16814572	chr16	+	1031808	1036979	ENSG00000005513	SOX8	30812	protein_coding
16779844	chr13	-	77566740	77601331	ENSG00000005812	FBXL3	26224	protein_coding
16835711	chr17	+	48172101	48189516	ENSG00000005882	PDK2	5164	protein_coding
16835672	chr17	+	48133332	48167849	ENSG00000005884	ITGA3	3675	protein_coding
17102183	chrX	+	24167290	24234372	ENSG00000005889	ZFX	7543	protein_coding
17113725	chrX	-	119560003	119603220	ENSG00000005893	LAMP2	3920	protein_coding
16845681	chr17	-	42449550	42466873	ENSG00000005961	ITGA2B	3674	protein_coding
17048613	chr7	+	95107756	95169544	ENSG00000005981	ASB4	51666	protein_coding
16824555	chr16	-	19512623	19533450	ENSG00000006007	GDE1	51573	protein_coding
16859832	chr19	+	18699495	18703147	ENSG00000006015	REX1BD	55049	protein_coding
16870443	chr19	-	18704035	18717660	ENSG00000006016	CRLF1	9244	protein_coding
16846093	chr17	-	45884733	45899200	ENSG00000006025	OSBPL7	114881	protein_coding
16833171	chr17	+	31254928	31268667	ENSG00000006042	TMEM98	26022	protein_coding
16833184	chr17	+	31271487	31277548	ENSG00000006042	TMEM98	26022	protein_coding
16840611	chr17	-	7191571	7197876	ENSG00000006047	YBX2	51087	protein_coding
16844644	chr17	-	39502344	39507064	ENSG00000006059	KRT33A	3883	protein_coding
16845876	chr17	-	43340488	43394414	ENSG00000006062	MAP3K14	9020	protein_coding
16817083	chr16	+	24266874	24374122	ENSG00000006116	CACNG3	10368	protein_coding
16725405	chr11	+	60691913	60704631	ENSG00000006118	TMEM132A	54972	protein_coding
17048694	chr7	+	97361220	97369784	ENSG00000006128	TAC1	6863	protein_coding
16815411	chr16	+	3313768	3317567	ENSG00000006194	ZNF263	10127	protein_coding
16815415	chr16	+	3313800	3341460	ENSG00000006194	ZNF263	10127	protein_coding
16819484	chr16	+	57406375	57418960	ENSG00000006210	CX3CL1	6376	protein_coding
16835934	chr17	+	48620419	48633213	ENSG00000006282	SPATA20	64847	protein_coding
16835909	chr17	+	48609904	48621111	ENSG00000006282	SPATA20	64847	protein_coding
16835972	chr17	+	48638429	48704835	ENSG00000006283	CACNA1G	8913	protein_coding
16815310	chr16	+	3070313	3072384	ENSG00000006327	TNFRSF12A	51330	protein_coding
17048676	chr7	+	96634860	96640352	ENSG00000006377	DLX6	1750	protein_coding
16794347	chr14	-	71194831	71276223	ENSG00000006432	MAP3K9	4293	protein_coding
17045369	chr7	+	39663082	39747723	ENSG00000006451	RALA	5898	protein_coding
17055354	chr7	-	13930853	14031050	ENSG00000006468	ETV1	2115	protein_coding
17052353	chr7	+	141250989	141355044	ENSG00000006530	AGK	55750	protein_coding
16727976	chr11	+	67776048	67796744	ENSG00000006534	ALDH3B1	221	protein_coding
16687602	chr1	-	55245385	55266941	ENSG00000006555	TTC22	55001	protein_coding
17058863	chr7	-	75398842	75419214	ENSG00000006606	CCL26	10344	protein_coding
16736337	chr11	-	17515442	17565963	ENSG00000006611	USH1C	10083	protein_coding
17056358	chr7	-	30536237	30544460	ENSG00000006625	GGCT	79017	protein_coding
17047965	chr7	+	87505531	87538856	ENSG00000006634	DBF4	10926	protein_coding
16867088	chr19	-	3594504	3606831	ENSG00000006638	TBXA2R	6915	protein_coding
16862132	chr19	+	40194946	40200088	ENSG00000006659	LGALS14	56891	protein_coding
16872203	chr19	-	39876269	39881757	ENSG00000006712	PAF1	54623	protein_coding
17056896	chr7	-	38762563	38971994	ENSG00000006715	VPS41	27072	protein_coding
16831247	chr17	+	12692829	12894960	ENSG00000006740	ARHGAP44	9912	protein_coding
16841483	chr17	-	12894929	12921381	ENSG00000006744	ELAC2	60528	protein_coding
17043727	chr7	+	12610203	12693228	ENSG00000006747	SCIN	85477	protein_coding
17108779	chrX	-	2822011	2847416	ENSG00000006756	ARSD	414	protein_coding
17108943	chrX	-	7866288	7895780	ENSG00000006757	PNPLA4	8228	protein_coding
16841166	chr17	-	10204183	10276322	ENSG00000006788	MYH13	8735	protein_coding
16746696	chr12	+	1797740	1897845	ENSG00000006831	ADIPOR2	79602	protein_coding
16886732	chr2	+	158733219	158734099	ENSG00000007001	UPP2	151531	protein_coding
16815237	chr16	+	2867164	2871720	ENSG00000007038	PRSS21	10942	protein_coding
16863243	chr19	+	45754516	45808541	ENSG00000007047	MARK4	57787	protein_coding
16974529	chr4	-	15961863	15970932	ENSG00000007062	PROM1	8842	protein_coding
16859675	chr19	+	18043824	18054794	ENSG00000007080	CCDC124	115098	protein_coding
16862529	chr19	+	42041702	42093197	ENSG00000007129	CEACAM21	90273	protein_coding
16831125	chr17	+	11501748	11873485	ENSG00000007174	DNAH9	1770	protein_coding
16842722	chr17	-	26941458	26972472	ENSG00000007202	KIAA0100	9703	protein_coding
16842701	chr17	-	26931069	26941474	ENSG00000007202	KIAA0100	9703	protein_coding
16832479	chr17	+	26800311	26824799	ENSG00000007216	SLC13A2	9058	protein_coding
16841137	chr17	-	9813926	10101868	ENSG00000007237	GAS7	8522	protein_coding
16873239	chr19	-	45666186	45681485	ENSG00000007255	TRAPPC6A	79090	protein_coding
16867153	chr19	-	3777967	3801810	ENSG00000007264	MATK	4145	protein_coding
16872611	chr19	-	42177235	42192296	ENSG00000007306	CEACAM7	1087	protein_coding
16847719	chr17	-	62006098	62009714	ENSG00000007312	CD79B	974	protein_coding
16847730	chr17	-	62015914	62050278	ENSG00000007314	SCN4A	6329	protein_coding
16690930	chr1	-	113066140	113163447	ENSG00000007341	ST7L	54879	protein_coding
17108264	chrX	+	153524024	153558713	ENSG00000007350	TKTL1	8277	protein_coding
16822581	chr16	-	834974	838383	ENSG00000007376	RPUSD1	113000	protein_coding
16822296	chr16	-	108058	126354	ENSG00000007384	RHBDF1	64285	protein_coding
16822356	chr16	-	238968	279462	ENSG00000007392	LUC7L	55692	protein_coding
16954507	chr3	-	50400230	50541675	ENSG00000007402	CACNA2D2	9254	protein_coding
16814654	chr16	+	1383606	1399442	ENSG00000007516	BAIAP3	8938	protein_coding
16822652	chr16	-	1399241	1401912	ENSG00000007520	TSR3	115939	protein_coding
17018459	chr6	-	35441374	35464861	ENSG00000007866	TEAD3	7005	protein_coding
16696251	chr1	-	169691781	169703220	ENSG00000007908	SELE	6401	protein_coding
16681225	chr1	-	6694228	6761984	ENSG00000007923	DNAJC11	55735	protein_coding
16673682	chr1	+	171060018	171086959	ENSG00000007933	FMO3	2328	protein_coding
16683358	chr1	-	23832920	23857712	ENSG00000007968	E2F2	1870	protein_coding
17026002	chr6	-	170844204	170862429	ENSG00000008018	PSMB1	5689	protein_coding
17110447	chrX	-	47431300	47479256	ENSG00000008056	SYN1	6853	protein_coding
16676965	chr1	+	209757045	209787284	ENSG00000008118	CAMK1G	57172	protein_coding
16680446	chr1	-	1682671	1711896	ENSG00000008130	NADK	65220	protein_coding
17009545	chr6	+	50786436	50815326	ENSG00000008196	TFAP2B	7021	protein_coding
17009533	chr6	+	50681257	50740746	ENSG00000008197	TFAP2D	83741	protein_coding
17047985	chr7	+	87563458	87832204	ENSG00000008277	ADAM22	53616	protein_coding
17061532	chr7	-	105730949	105753057	ENSG00000008282	SYPL1	6856	protein_coding
16847565	chr17	-	61509665	61523722	ENSG00000008283	CYB561	1534	protein_coding
17062280	chr7	-	121713598	121784344	ENSG00000008311	AASS	10157	protein_coding
16747211	chr12	+	6419602	6437672	ENSG00000008323	PLEKHG6	55200	protein_coding
16939660	chr3	+	42623332	42636606	ENSG00000008324	SS18L2	51188	protein_coding
16857177	chr19	+	4343524	4360083	ENSG00000008382	MPND	84954	protein_coding
16769622	chr12	-	107385142	107487607	ENSG00000008405	CRY1	1407	protein_coding
16873501	chr19	-	46522411	46526556	ENSG00000008438	PGLYRP1	8993	protein_coding
16858805	chr19	+	13106584	13209610	ENSG00000008441	NFIX	4784	protein_coding
17081447	chr8	-	134467091	134584183	ENSG00000008513	ST3GAL1	6482	protein_coding
16815342	chr16	+	3096682	3110727	ENSG00000008516	MMP25	64386	protein_coding
16931788	chr22	+	51039114	51049979	ENSG00000008735	MAPK8IP2	23542	protein_coding
17066791	chr8	+	22844930	22877712	ENSG00000008853	RHOBTB2	23221	protein_coding
16896398	chr2	-	37195526	37311485	ENSG00000008869	HEATR5B	54497	protein_coding
16947829	chr3	+	169683929	169716161	ENSG00000008952	SEC62	7095	protein_coding
16691270	chr1	-	115259534	115301297	ENSG00000009307	CSDE1	7812	protein_coding
17118281	chr7	+	157056843	157059007	ENSG00000009335	UBE3C	9690	protein_coding
16660182	chr1	+	18957500	19075360	ENSG00000009709	PAX7	5081	protein_coding
16681595	chr1	-	11086580	11107296	ENSG00000009724	MASP2	10747	protein_coding
17013677	chr6	+	150690028	150727105	ENSG00000009765	IYD	389434	protein_coding
16676999	chr1	+	209929377	209955668	ENSG00000009790	TRAF3IP3	80342	protein_coding
16795082	chr14	-	77741299	77787227	ENSG00000009830	POMT2	29954	protein_coding
17013114	chr6	+	142468367	142542085	ENSG00000009844	VTA1	51534	protein_coding
17058524	chr7	-	73007524	73038873	ENSG00000009950	MLXIPL	51085	protein_coding
17058460	chr7	-	72854728	72936615	ENSG00000009954	BAZ1B	9031	protein_coding
17015752	chr6	-	13621730	13711953	ENSG00000010017	RANBP9	10048	protein_coding
17018615	chr6	-	36321998	36356164	ENSG00000010030	ETV7	51513	protein_coding
16678738	chr1	+	231472850	231490769	ENSG00000010072	SPRTN	83932	protein_coding
16833119	chr17	+	30677128	30714780	ENSG00000010244	ZNF207	7756	protein_coding
16953568	chr3	-	48636432	48648409	ENSG00000010256	UQCRC1	7384	protein_coding
17045303	chr7	+	38217808	38270272	ENSG00000010270	STARD3NL	83930	protein_coding
16747184	chr12	+	6308881	6347437	ENSG00000010278	CD9	928	protein_coding
16760419	chr12	-	6647541	6665249	ENSG00000010295	IFFO1	25900	protein_coding
16941493	chr3	+	52443510	52457657	ENSG00000010318	PHF7	51533	protein_coding
16954796	chr3	-	52467069	52479101	ENSG00000010319	SEMA3G	56920	protein_coding
16941516	chr3	+	52489134	52527088	ENSG00000010322	NISCH	11188	protein_coding
16941560	chr3	+	52529354	52558511	ENSG00000010327	STAB1	23166	protein_coding
16874375	chr19	-	50310123	50320633	ENSG00000010361	FUZ	80199	protein_coding
16823299	chr16	-	3272325	3285457	ENSG00000010539	ZNF200	7752	protein_coding
16747417	chr12	+	6896024	6929976	ENSG00000010610	CD4	920	protein_coding
16747566	chr12	+	6993145	6993778	ENSG00000010626	LRRC23	10233	protein_coding
17005542	chr6	+	26087509	26098571	ENSG00000010704	HFE	3077	protein_coding
16685889	chr1	-	41492871	41707826	ENSG00000010803	SCMH1	22955	protein_coding
17022691	chr6	-	111981535	112194655	ENSG00000010810	FYN	2534	protein_coding
17024335	chr6	-	143072604	143266338	ENSG00000010818	HIVEP2	3097	protein_coding
16673731	chr1	+	171217638	171255117	ENSG00000010932	FMO1	2326	protein_coding
16660685	chr1	+	24069645	24088549	ENSG00000011007	ELOA	6924	protein_coding
16660713	chr1	+	24117460	24122029	ENSG00000011009	LYPLA2	11313	protein_coding
16836131	chr17	+	49230897	49249108	ENSG00000011052	NME1-NME2	654364	protein_coding
16991057	chr5	+	149569520	149602351	ENSG00000011083	SLC6A7	6534	protein_coding
16796128	chr14	-	93703896	93799438	ENSG00000011114	BTBD7	55727	protein_coding
16847007	chr17	-	56282797	56296966	ENSG00000011143	MKS1	54903	protein_coding
16939815	chr3	+	43731605	43775863	ENSG00000011198	ABHD5	51099	protein_coding
17108959	chrX	-	8496915	8700227	ENSG00000011201	ANOS1	3730	protein_coding
16869860	chr19	-	15490859	15529833	ENSG00000011243	AKAP8L	26993	protein_coding
16836156	chr17	+	49337889	49375297	ENSG00000011260	UTP18	51096	protein_coding
16871893	chr19	-	38701646	38720354	ENSG00000011332	DPF1	8193	protein_coding
16940065	chr3	+	45429998	45590913	ENSG00000011376	LARS2	23395	protein_coding
16736211	chr11	-	17095936	17099334	ENSG00000011405	PIK3C2A	5286	protein_coding
17045198	chr7	+	36429415	36493400	ENSG00000011426	ANLN	54443	protein_coding
16869876	chr19	-	15532318	15560762	ENSG00000011451	WIZ	58525	protein_coding
16768413	chr12	-	91539025	91576900	ENSG00000011465	DCN	1634	protein_coding
16863344	chr19	+	46195741	46207253	ENSG00000011478	QPCTL	54814	protein_coding
16863460	chr19	+	46850251	46896238	ENSG00000011485	PPP5C	5536	protein_coding
16880736	chr2	+	65283495	65314142	ENSG00000011523	CEP68	23177	protein_coding
16861135	chr19	+	36195429	36207940	ENSG00000011590	ZBTB32	27033	protein_coding
16861149	chr19	+	36198272	36199158	ENSG00000011590	ZBTB32	27033	protein_coding
16871546	chr19	-	36395303	36399211	ENSG00000011600	TYROBP	7305	protein_coding
16816660	chr16	+	21169698	21191937	ENSG00000011638	TMEM159	57146	protein_coding
16873313	chr19	-	45910591	45982086	ENSG00000012061	ERCC1	2067	protein_coding
16873329	chr19	-	45976341	45978414	ENSG00000012061	ERCC1	2067	protein_coding
16941024	chr3	+	50305040	50314573	ENSG00000012171	SEMA3B	7869	protein_coding
17110817	chrX	-	49031151	49042845	ENSG00000012211	PRICKLE3	4007	protein_coding
16952883	chr3	-	46477136	46526724	ENSG00000012223	LTF	4057	protein_coding
17067424	chr8	+	28457986	28613116	ENSG00000012232	EXTL3	2137	protein_coding
16755671	chr12	+	100867486	100958191	ENSG00000012504	NR1H4	9971	protein_coding
16704375	chr10	+	45869629	45941565	ENSG00000012779	ALOX5	240	protein_coding
17117126	chrY	-	21865751	21906825	ENSG00000012817	KDM5D	8284	protein_coding
16765404	chr12	-	54104902	54121529	ENSG00000012822	CALCOCO1	57658	protein_coding
16787679	chr14	+	93673401	93695926	ENSG00000012963	UBR7	55148	protein_coding
16878731	chr2	+	31456880	31492313	ENSG00000013016	EHD3	30845	protein_coding
16862145	chr19	+	40477073	40487353	ENSG00000013275	PSMC4	5704	protein_coding
16964695	chr4	+	6576902	6625089	ENSG00000013288	MAN2B2	23324	protein_coding
16961449	chr3	-	170177342	170303863	ENSG00000013293	SLC7A14	57709	protein_coding
16845657	chr17	-	42396993	42402238	ENSG00000013306	SLC25A39	51629	protein_coding
16817692	chr16	+	29831715	29859360	ENSG00000013364	MVP	9961	protein_coding
16817685	chr16	+	29827285	29833816	ENSG00000013364	MVP	9961	protein_coding
17053654	chr7	+	151038785	151075547	ENSG00000013374	NUB1	51667	protein_coding
17021188	chr6	-	83870869	83903655	ENSG00000013375	PGM3	5238	protein_coding
17010692	chr6	+	83903032	83906382	ENSG00000013392	RWDD2A	112611	protein_coding
16756334	chr12	+	106751436	106903976	ENSG00000013503	POLR3B	55703	protein_coding
16795021	chr14	-	77253586	77292589	ENSG00000013523	ANGEL1	23357	protein_coding
16990423	chr5	+	141337893	141369856	ENSG00000013561	RNF14	9604	protein_coding
17115571	chrX	-	153629579	153640449	ENSG00000013563	DNASE1L1	1774	protein_coding
16749656	chr12	+	31226779	31257725	ENSG00000013573	DDX11	1663	protein_coding
16761663	chr12	-	13127798	13153243	ENSG00000013583	HEBP1	50865	protein_coding
17107676	chrX	+	149529689	149682448	ENSG00000013619	MAMLD1	10046	protein_coding
17107695	chrX	+	149657801	149657922	ENSG00000013619	MAMLD1	10046	protein_coding
16725432	chr11	+	60739113	60787849	ENSG00000013725	CD6	923	protein_coding
17011098	chr6	+	96969471	97003152	ENSG00000014123	UFL1	23376	protein_coding
16726790	chr11	+	65029233	65073060	ENSG00000014138	POLA2	23649	protein_coding
17082088	chr8	-	144519825	144623623	ENSG00000014164	ZC3H3	23144	protein_coding
16726734	chr11	+	64948037	64979477	ENSG00000014216	CAPN1	823	protein_coding
16945682	chr3	+	132036211	132087146	ENSG00000014257	ACP3	55	protein_coding
16880596	chr2	+	63815743	63834331	ENSG00000014641	MDH1	4190	protein_coding
16692667	chr1	-	149900543	149908791	ENSG00000014914	MTMR11	10903	protein_coding
16717397	chr10	-	101468505	101492423	ENSG00000014919	COX15	1355	protein_coding
16795826	chr14	-	91737667	91884188	ENSG00000015133	CCDC88C	440193	protein_coding
16763257	chr12	-	42550865	42632154	ENSG00000015153	YAF2	10138	protein_coding
16701691	chr10	+	180405	300577	ENSG00000015171	ZMYND11	10771	protein_coding
16822035	chr16	+	89679716	89704864	ENSG00000015413	DPEP1	1800	protein_coding
17057305	chr7	-	44552134	44580914	ENSG00000015520	NPC1L1	29881	protein_coding
16835781	chr17	+	48423393	48440499	ENSG00000015532	XYLT2	64132	protein_coding
16884204	chr2	+	110550335	110615282	ENSG00000015568	RGPD5	84220	protein_coding
17075685	chr8	-	27092840	27115937	ENSG00000015592	STMN4	81551	protein_coding
17057284	chr7	-	44421965	44530479	ENSG00000015676	NUDCD3	23386	protein_coding
16984612	chr5	+	50678921	50690564	ENSG00000016082	ISL1	3670	protein_coding
16955119	chr3	-	53850324	53880420	ENSG00000016391	CHDH	55349	protein_coding
17024118	chr6	-	137321108	137366298	ENSG00000016402	IL20RA	53832	protein_coding
16666775	chr1	+	86934051	86965977	ENSG00000016490	CLCA1	1179	protein_coding
16666799	chr1	+	87012759	87046437	ENSG00000016602	CLCA4	22802	protein_coding
16954900	chr3	-	52728504	52740048	ENSG00000016864	GLT8D1	55830	protein_coding
16945582	chr3	+	130569369	130735556	ENSG00000017260	ATP2C1	27032	protein_coding
16769250	chr12	-	102789645	102874423	ENSG00000017427	IGF1	3479	protein_coding
17110586	chrX	-	48316920	48328644	ENSG00000017483	SLC38A5	92745	protein_coding
16967563	chr4	+	71569921	71674336	ENSG00000018189	RUFY3	22902	protein_coding
16890837	chr2	+	219246752	219261617	ENSG00000018280	SLC11A1	6556	protein_coding
16888047	chr2	+	178257372	178408564	ENSG00000018510	AGPS	8540	protein_coding
16885824	chr2	+	133062580	133076309	ENSG00000018607	ZNF806	646915	transcribed_unprocessed_pseudogene
17113582	chrX	-	118672112	118699397	ENSG00000018610	CXorf56	63932	protein_coding
16672505	chr1	+	160085520	160113381	ENSG00000018625	ATP1A2	477	protein_coding
16875873	chr19	-	56894648	56904889	ENSG00000018869	ZNF582	147948	protein_coding
16884933	chr2	+	119699742	119752236	ENSG00000019169	MARCO	8685	protein_coding
16920497	chr20	-	52769988	52790516	ENSG00000019186	CYP24A1	1591	protein_coding
16724117	chr11	+	45115564	45247734	ENSG00000019485	PRDM11	56981	protein_coding
17117523	chr11	+	45115564	45247734	ENSG00000019485	PRDM11	56981	protein_coding
16737590	chr11	-	45261852	45307884	ENSG00000019505	SYT13	57586	protein_coding
17077004	chr8	-	49830236	49834299	ENSG00000019549	SNAI2	6591	protein_coding
17001654	chr5	-	149781200	149792499	ENSG00000019582	CD74	972	protein_coding
17059165	chr7	-	81328322	81399754	ENSG00000019991	HGF	3082	protein_coding
16710360	chr10	+	126605712	126676758	ENSG00000019995	ZRANB1	54764	protein_coding
16662396	chr1	+	36023074	36032875	ENSG00000020129	NCDN	23154	protein_coding
17067941	chr8	+	37641709	37702414	ENSG00000020181	ADGRA2	25960	protein_coding
16784333	chr14	+	55033815	55260220	ENSG00000020577	SAMD4A	23034	protein_coding
16683624	chr1	-	25226002	25291612	ENSG00000020633	RUNX3	864	protein_coding
16728857	chr11	+	73357223	73373864	ENSG00000021300	PLEKHB1	58473	protein_coding
17015084	chr6	-	2832566	2842240	ENSG00000021355	SERPINB1	1992	protein_coding
17049032	chr7	+	99425636	99464173	ENSG00000021461	CYP3A43	64816	protein_coding
16878748	chr2	+	32288680	32383018	ENSG00000021574	SPAST	6683	protein_coding
16734570	chr11	-	3108346	3187969	ENSG00000021762	OSBPL5	114879	protein_coding
16807027	chr15	-	35147732	35262040	ENSG00000021776	AQR	9716	protein_coding
17107230	chrX	+	135228861	135293518	ENSG00000022267	FHL1	2273	protein_coding
16991797	chr5	+	161274197	161326975	ENSG00000022355	GABRA1	2554	protein_coding
16757915	chr12	+	120971283	121015397	ENSG00000022840	RNF10	9921	protein_coding
16718473	chr10	-	114190058	114206672	ENSG00000023041	ZDHHC6	64429	protein_coding
16732755	chr11	+	123396344	123498482	ENSG00000023171	GRAMD1B	57476	protein_coding
16733920	chr11	-	494512	507300	ENSG00000023191	RNH1	6050	protein_coding
16907548	chr2	-	206986149	207024327	ENSG00000023228	NDUFS1	4719	protein_coding
17077135	chr8	-	53535016	53658403	ENSG00000023287	RB1CC1	9821	protein_coding
16941344	chr3	+	52232099	52248538	ENSG00000023330	ALAS1	211	protein_coding
16730522	chr11	+	102188181	102210134	ENSG00000023445	BIRC3	330	protein_coding
16774378	chr13	+	42848464	42851124	ENSG00000023516	AKAP11	11215	protein_coding
16774362	chr13	+	42846289	42897403	ENSG00000023516	AKAP11	11215	protein_coding
16697463	chr1	-	193065595	193075244	ENSG00000023572	GLRX2	51022	protein_coding
16785086	chr14	+	62229075	62263146	ENSG00000023608	SNAPC1	6617	protein_coding
16748768	chr12	+	16064106	16190315	ENSG00000023697	DERA	51071	protein_coding
16748751	chr12	+	16035288	16056412	ENSG00000023734	STRAP	11171	protein_coding
16708192	chr10	+	101542463	101611949	ENSG00000023839	ABCC2	1244	protein_coding
17007795	chr6	+	35265595	35289548	ENSG00000023892	DEF6	50619	protein_coding
16670432	chr1	+	150121373	150153235	ENSG00000023902	PLEKHO1	51177	protein_coding
16689752	chr1	-	94350761	94375012	ENSG00000023909	GCLM	2730	protein_coding
