ID	CHROMOSOMAL_LOCATION	Geneid	hgnc_symbol	entrezgene_id	biotype
A_23_P42848	chr7:91830714-91830655	ENSG00000001631	KRIT1	889	protein_coding
A_24_P98161	chr7:91828674-91828615	ENSG00000001631	KRIT1	889	protein_coding
A_23_P64990	chr12:1022227-1022168	ENSG00000002016	RAD52	5893	protein_coding
A_23_P150207	chr11:64037581-64037522	ENSG00000002330	BAD	572	protein_coding
A_23_P18604	chr4:17609187-17609246	ENSG00000002549	LAP3	51056	protein_coding
A_24_P70993	chrY:2588454-2590715	ENSG00000002586	CD99	4267	protein_coding
A_23_P217510	chrY:2609197-2609256	ENSG00000002586	CD99	4267	protein_coding
A_24_P622468	chrX:002659021-002658962	ENSG00000002586	CD99	4267	protein_coding
A_23_P121657	chr4:11400729-11400670	ENSG00000002587	HS3ST1	9957	protein_coding
A_23_P59452	chr7:150555060-150555119	ENSG00000002726	AOC1	26	protein_coding
A_23_P134601	chr7:120980617-120980676	ENSG00000002745	WNT16	51384	protein_coding
A_32_P166422	chr7:43298220-43298279	ENSG00000002746	HECW1	23072	protein_coding
A_23_P319027	chr7:43602391-43602450	ENSG00000002746	HECW1	23072	protein_coding
A_23_P333735	chr7:1937988-1937929	ENSG00000002822	MAD1L1	8379	protein_coding
A_24_P936010	chr17:37071624-37071683	ENSG00000002834	LASP1	3927	protein_coding
A_23_P89187	chr17:37077464-37077523	ENSG00000002834	LASP1	3927	protein_coding
A_23_P89343	chr17:46199801-46199860	ENSG00000002919	SNX11	29916	protein_coding
A_23_P252082	chr7:150502028-150502087	ENSG00000002933	TMEM176A	55365	protein_coding
A_23_P204252	chr12:9093716-9093657	ENSG00000003056	M6PR	4074	protein_coding
A_24_P210343	chr12:9094216-9094157	ENSG00000003056	M6PR	4074	protein_coding
A_23_P159974	chrX:117032474-117032415	ENSG00000003096	KLHL13	90293	protein_coding
A_23_P210109	chr2:72357489-72357430	ENSG00000003137	CYP26B1	56603	protein_coding
A_23_P210100	chr2:72356538-72356479	ENSG00000003137	CYP26B1	56603	protein_coding
A_24_P372012	chr7:8198223-8198164	ENSG00000003147	ICA1	3382	protein_coding
A_23_P215419	chr7:8153625-8153566	ENSG00000003147	ICA1	3382	protein_coding
A_23_P26439	chr16:90072057-90071998	ENSG00000003249	DBNDD1	79007	protein_coding
A_24_P222410	chr2:202609056-202608997	ENSG00000003393	ALS2	57679	protein_coding
A_23_P209430	chr2:202566045-202565986	ENSG00000003393	ALS2	57679	protein_coding
A_23_P377664	chr2:202624550-202624491	ENSG00000003393	ALS2	57679	protein_coding
A_24_P3045	chr2:202057711-202057770	ENSG00000003400	CASP10	843	protein_coding
A_23_P209408	chr2:202084496-202084555	ENSG00000003400	CASP10	843	protein_coding
A_24_P139993	chr2:202084359-202084418	ENSG00000003400	CASP10	843	protein_coding
A_23_P156807	chr2:202030660-202030717	ENSG00000003402	CFLAR	8837	protein_coding
A_23_P209394	chr2:202000731-202000790	ENSG00000003402	CFLAR	8837	protein_coding
A_24_P120115	chr2:202025198-202025257	ENSG00000003402	CFLAR	8837	protein_coding
A_23_P330070	chr2:188343465-188343406	ENSG00000003436	TFPI	7035	protein_coding
A_23_P17095	chr2:188332599-188332540	ENSG00000003436	TFPI	7035	protein_coding
A_32_P100947	chr2:188329286-188329345	ENSG00000003436	TFPI	7035	protein_coding
A_24_P920344	chr2:037476273-037476214	ENSG00000003509	NDUFAF7	55471	protein_coding
A_23_P28318	chr2:37475476-37475535	ENSG00000003509	NDUFAF7	55471	protein_coding
A_24_P919510	chr3:50139533-50139592	ENSG00000003756	RBM5	10181	protein_coding
A_23_P18276	chr3:50156137-50156196	ENSG00000003756	RBM5	10181	protein_coding
A_24_P328646	chr3:50154781-50155791	ENSG00000003756	RBM5	10181	protein_coding
A_24_P383095	chr8:17163371-17163312	ENSG00000003987	MTMR7	9108	protein_coding
A_23_P255837	chr8:17419598-17421149	ENSG00000003989	SLC7A2	6542	protein_coding
A_23_P254601	chr7:127231091-127231274	ENSG00000004059	ARF5	381	protein_coding
A_24_P394702	chr7:127230137-127231021	ENSG00000004059	ARF5	381	protein_coding
A_32_P216193	chr17:026696802-026696861	ENSG00000004139	SARM1	23098	protein_coding
A_24_P267293	chr17:26727741-26727800	ENSG00000004139	SARM1	23098	protein_coding
A_24_P142442	chr17:26674388-26674329	ENSG00000004142	POLDIP2	26073	protein_coding
A_23_P80752	chr3:129275502-129275255	ENSG00000004399	PLXND1	23129	protein_coding
A_24_P376391	chr3:129274457-129274398	ENSG00000004399	PLXND1	23129	protein_coding
A_32_P207360	chr1:33475823-33475764	ENSG00000004455	AK2	204	protein_coding
A_24_P179903	chr1:33478726-33478667	ENSG00000004455	AK2	204	protein_coding
A_24_P500891	chr1:33475717-33475658	ENSG00000004455	AK2	204	protein_coding
A_23_P200404	chr1:33478807-33478748	ENSG00000004455	AK2	204	protein_coding
A_23_P167328	chr4:15850185-15850244	ENSG00000004468	CD38	952	protein_coding
A_32_P32195	chr4:015854004-015854063	ENSG00000004468	CD38	952	protein_coding
A_23_P128372	chr12:2912469-2912528	ENSG00000004478	FKBP4	2288	protein_coding
A_32_P71788	chr12:2909056-2909213	ENSG00000004478	FKBP4	2288	protein_coding
A_24_P74981	chr1:23405495-23405554	ENSG00000004487	KDM1A	23028	protein_coding
A_32_P108203	chr3:050099157-050099098	ENSG00000004534	RBM6	10180	protein_coding
A_32_P11764	chr3:50051201-50051142	ENSG00000004534	RBM6	10180	protein_coding
A_23_P57941	chr3:50106147-50107896	ENSG00000004534	RBM6	10180	protein_coding
A_24_P515866	chr3:050015112-050015053	ENSG00000004534	RBM6	10180	protein_coding
A_23_P431933	chr17:3763939-3763880	ENSG00000004660	CAMKK1	84254	protein_coding
A_23_P207648	chr17:3769234-3765551	ENSG00000004660	CAMKK1	84254	protein_coding
A_24_P292929	chr17:3773130-3772886	ENSG00000004660	CAMKK1	84254	protein_coding
A_32_P159334	chr12:21621953-21621894	ENSG00000004700	RECQL	5965	protein_coding
A_23_P25215	chr12:21623932-21623251	ENSG00000004700	RECQL	5965	protein_coding
A_24_P77941	chr7:92901989-92905479	ENSG00000004766	VPS50	55610	protein_coding
A_23_P215614	chr7:92940484-92940543	ENSG00000004766	VPS50	55610	protein_coding
A_24_P409219	chr7:92985327-92985386	ENSG00000004766	VPS50	55610	protein_coding
A_24_P77947	chr7:92887515-92887574	ENSG00000004766	VPS50	55610	protein_coding
A_24_P308029	chr19:36246079-36246020	ENSG00000004776	HSPB6	126393	protein_coding
A_24_P10674	chr19:36279037-36279096	ENSG00000004777	ARHGAP33	115703	protein_coding
A_23_P404730	chr19:36279423-36279482	ENSG00000004777	ARHGAP33	115703	protein_coding
A_32_P219126	chr19:036277681-036277622	ENSG00000004777	ARHGAP33	115703	protein_coding
A_23_P140960	chr16:23596691-23593672	ENSG00000004779	NDUFAB1	4706	protein_coding
A_24_P243749	chr7:95213366-95213307	ENSG00000004799	PDK4	5166	protein_coding
A_23_P257087	chr7:95216388-95216329	ENSG00000004799	PDK4	5166	protein_coding
A_24_P919084	chr6:110777669-110777610	ENSG00000004809	SLC22A16	85413	protein_coding
A_23_P42004	chr6:110746152-110746093	ENSG00000004809	SLC22A16	85413	protein_coding
A_23_P29663	chr3:50378905-50378846	ENSG00000004838	ZMYND10	51364	protein_coding
A_23_P111662	chr7:20795142-20795201	ENSG00000004846	ABCB5	340273	protein_coding
A_23_P306223	chrX:25022494-25022435	ENSG00000004848	ARX	170302	protein_coding
A_32_P109666	chrX:025022502-025022561	ENSG00000004848	ARX	170302	protein_coding
A_23_P82334	chr7:95749948-95749889	ENSG00000004864	SLC25A13	10165	protein_coding
A_32_P157402	chr7:95951261-95926212	ENSG00000004864	SLC25A13	10165	protein_coding
A_23_P215735	chr7:116849952-116859157	ENSG00000004866	ST7	7982	protein_coding
A_24_P141019	chr7:116829387-116829446	ENSG00000004866	ST7	7982	protein_coding
A_23_P66777	chr17:45197878-45197819	ENSG00000004897	CDC27	996	protein_coding
A_24_P385190	chr17:42337858-42337799	ENSG00000004939	SLC4A1	6521	protein_coding
A_23_P77980	chr17:42328567-42327888	ENSG00000004939	SLC4A1	6521	protein_coding
A_23_P134484	chr7:93054128-93054069	ENSG00000004948	CALCR	799	protein_coding
A_23_P436407	chrX:11140517-11140576	ENSG00000004961	HCCS	3052	protein_coding
A_23_P257945	chrX:11139073-11139750	ENSG00000004961	HCCS	3052	protein_coding
A_23_P55342	chr17:7128974-7128915	ENSG00000004975	DVL2	1856	protein_coding
A_23_P400298	chr16:2902840-2902781	ENSG00000005001	PRSS22	64063	protein_coding
A_24_P194154	chr19:18978975-18979034	ENSG00000005007	UPF1	5976	protein_coding
A_24_P920333	chr7:026707679-026707738	ENSG00000005020	SKAP2	8935	protein_coding
A_23_P157128	chr7:26709727-26709234	ENSG00000005020	SKAP2	8935	protein_coding
A_24_P182182	chrX:118604073-118604357	ENSG00000005022	SLC25A5	292	protein_coding
A_23_P436179	chrX:118604985-118605044	ENSG00000005022	SLC25A5	292	protein_coding
A_24_P182183	chrX:118604338-118604397	ENSG00000005022	SLC25A5	292	protein_coding
A_23_P137057	chrX:118605131-118605190	ENSG00000005022	SLC25A5	292	protein_coding
A_32_P117977	chrX:118603704-118603645	ENSG00000005022	SLC25A5	292	protein_coding
A_23_P255376	chr4:110605745-110606408	ENSG00000005059	MCUB	55013	protein_coding
A_23_P42706	chr7:27222252-27222193	ENSG00000005073	HOXA11	3207	protein_coding
A_24_P292020	chr7:102114833-102114098	ENSG00000005075	POLR2J	5439	protein_coding
A_24_P364970	chr17:5346174-5346115	ENSG00000005100	DHX33	56919	protein_coding
A_23_P130141	chr17:5347341-5347282	ENSG00000005100	DHX33	56919	protein_coding
A_23_P107173	chr17:41718484-41718425	ENSG00000005102	MEOX1	4222	protein_coding
A_24_P400324	chr7:11414524-11414465	ENSG00000005108	THSD7A	221981	protein_coding
A_32_P11670	chr7:11410488-11410429	ENSG00000005108	THSD7A	221981	protein_coding
A_32_P350897	chr7:11412973-11412914	ENSG00000005108	THSD7A	221981	protein_coding
A_24_P119519	chr17:33310415-33310474	ENSG00000005156	LIG3	3980	protein_coding
A_23_P501134	chr17:33328391-33328955	ENSG00000005156	LIG3	3980	protein_coding
A_23_P2683	chr12:48060809-48057361	ENSG00000005175	RPAP3	79657	protein_coding
A_23_P317756	chr16:20793038-20793097	ENSG00000005187	ACSM3	6296	protein_coding
A_23_P49459	chr16:20856018-20856077	ENSG00000005189	REXO5	81691	protein_coding
A_23_P88781	chr16:57462700-57462641	ENSG00000005194	CIAPIN1	57019	protein_coding
A_32_P204381	chr16:57463000-57462941	ENSG00000005194	CIAPIN1	57019	protein_coding
A_32_P161447	chr19:2353654-2353713	ENSG00000005206	SPPL2B	56928	protein_coding
A_23_P79066	chr19:2353022-2353081	ENSG00000005206	SPPL2B	56928	protein_coding
A_23_P43380	chr9:35106339-35106280	ENSG00000005238	FAM214B	80256	protein_coding
A_24_P346762	chr9:35105138-35105079	ENSG00000005238	FAM214B	80256	protein_coding
A_23_P101093	chr17:46105838-46103783	ENSG00000005243	COPZ2	51226	protein_coding
A_23_P42975	chr7:106801594-106801653	ENSG00000005249	PRKAR2B	5577	protein_coding
A_32_P145477	chr7:106801045-106800986	ENSG00000005249	PRKAR2B	5577	protein_coding
A_23_P353514	chrX:11786024-11786083	ENSG00000005302	MSL3	10943	protein_coding
A_23_P217778	chrX:11793616-11793675	ENSG00000005302	MSL3	10943	protein_coding
A_24_P342279	chr16:3860623-3843588	ENSG00000005339	CREBBP	1387	protein_coding
A_24_P322025	chr16:3776991-3776932	ENSG00000005339	CREBBP	1387	protein_coding
A_23_P163850	chr16:3777645-3777586	ENSG00000005339	CREBBP	1387	protein_coding
A_24_P113131	chr17:56378659-56378600	ENSG00000005379	TSPOAP1	9256	protein_coding
A_23_P152559	chr17:56378837-56378778	ENSG00000005379	TSPOAP1	9256	protein_coding
A_23_P141173	chr17:56347927-56347868	ENSG00000005381	MPO	4353	protein_coding
A_24_P337846	chr7:94927207-94927148	ENSG00000005421	PON1	5444	protein_coding
A_23_P168598	chr7:94937418-94937359	ENSG00000005421	PON1	5444	protein_coding
A_24_P51037	chr2:75929144-75929085	ENSG00000005436	GCFC2	6936	protein_coding
A_23_P120062	chr2:75891606-75891547	ENSG00000005436	GCFC2	6936	protein_coding
A_23_P68072	chr2:74652257-74652316	ENSG00000005448	WDR54	84058	protein_coding
A_23_P168669	chr7:87027998-87028057	ENSG00000005469	CROT	54677	protein_coding
A_24_P393548	chr7:87106619-87106679	ENSG00000005471	ABCB4	5244	protein_coding
A_23_P123112	chr7:87046630-87042977	ENSG00000005471	ABCB4	5244	protein_coding
A_32_P132928	chr7:104746668-104746609	ENSG00000005483	KMT2E	55904	protein_coding
A_24_P196704	chr7:104715141-104715200	ENSG00000005483	KMT2E	55904	protein_coding
A_23_P8561	chr7:75517682-75517741	ENSG00000005486	RHBDD2	57414	protein_coding
A_24_P65292	chr16:1035014-1035073	ENSG00000005513	SOX8	30812	protein_coding
A_23_P66137	chr16:1036893-1036952	ENSG00000005513	SOX8	30812	protein_coding
A_23_P358995	chr6:82880099-82880040	ENSG00000005700	IBTK	25998	protein_coding
A_24_P929724	chr6:82933216-82933157	ENSG00000005700	IBTK	25998	protein_coding
A_23_P252748	chr11:3380673-3380614	ENSG00000005801	ZNF195	7748	protein_coding
A_23_P151459	chr13:77619287-77619228	ENSG00000005810	MYCBP2	23077	protein_coding
A_24_P323815	chr13:77672355-77672296	ENSG00000005810	MYCBP2	23077	protein_coding
A_23_P140069	chr13:77579939-77579880	ENSG00000005812	FBXL3	26224	protein_coding
A_32_P128974	chr13:77576929-77576988	ENSG00000005812	FBXL3	26224	protein_coding
A_23_P206806	chr16:30533908-30533967	ENSG00000005844	ITGAL	3683	protein_coding
A_23_P54878	chr16:30533229-30533289	ENSG00000005844	ITGAL	3683	protein_coding
A_23_P207517	chr17:48188262-48188321	ENSG00000005882	PDK2	5164	protein_coding
A_23_P55251	chr17:48167365-48167424	ENSG00000005884	ITGA3	3675	protein_coding
A_24_P290527	chrX:24225504-24225563	ENSG00000005889	ZFX	7543	protein_coding
A_24_P940524	chrX:24232193-24232252	ENSG00000005889	ZFX	7543	protein_coding
A_23_P125639	chrX:24228852-24228911	ENSG00000005889	ZFX	7543	protein_coding
A_32_P85495	chrX:119565152-119565211	ENSG00000005893	LAMP2	3920	protein_coding
A_23_P416608	chrX:119571253-119571194	ENSG00000005893	LAMP2	3920	protein_coding
A_24_P396231	chrX:119560132-119560073	ENSG00000005893	LAMP2	3920	protein_coding
A_23_P217447	chrX:119565026-119564967	ENSG00000005893	LAMP2	3920	protein_coding
A_32_P167352	chrX:119571564-119571623	ENSG00000005893	LAMP2	3920	protein_coding
A_23_P38408	chr17:34945927-34945986	ENSG00000005955	NA	NA	NA
A_24_P67976	chr17:34941769-34941828	ENSG00000005955	NA	NA	NA
A_24_P67892	chr17:34937888-34937947	ENSG00000005955	NA	NA	NA
A_23_P77971	chr17:42451731-42449742	ENSG00000005961	ITGA2B	3674	protein_coding
A_24_P65373	chr17:42453349-42453290	ENSG00000005961	ITGA2B	3674	protein_coding
A_23_P501319	chr7:95125352-95157166	ENSG00000005981	ASB4	51666	protein_coding
A_32_P130999	chr7:95169353-95169412	ENSG00000005981	ASB4	51666	protein_coding
A_23_P157205	chr7:95166986-95167045	ENSG00000005981	ASB4	51666	protein_coding
A_24_P861622	chr16:19513338-19513395	ENSG00000006007	GDE1	51573	protein_coding
A_23_P54758	chr16:19514113-19514054	ENSG00000006007	GDE1	51573	protein_coding
A_23_P67589	chr19:18702951-18703010	ENSG00000006015	REX1BD	55049	protein_coding
A_32_P176200	chr19:018703139-018703080	ENSG00000006015	REX1BD	55049	protein_coding
A_23_P56197	chr19:18704169-18704110	ENSG00000006016	CRLF1	9244	protein_coding
A_24_P181583	chr17:45886826-45886767	ENSG00000006025	OSBPL7	114881	protein_coding
A_23_P27035	chr17:31268428-31268487	ENSG00000006042	TMEM98	26022	protein_coding
A_23_P27040	chr17:31268128-31268187	ENSG00000006042	TMEM98	26022	protein_coding
A_23_P49865	chr17:7191649-7191590	ENSG00000006047	YBX2	51087	protein_coding
A_23_P78265	chr17:39504865-39504806	ENSG00000006059	KRT33A	3883	protein_coding
A_23_P207319	chr17:43340768-43340709	ENSG00000006062	MAP3K14	9020	protein_coding
A_23_P24774	chr11:17414661-17414602	ENSG00000006071	ABCC8	6833	protein_coding
A_23_P55270	chr17:34398680-34398739	ENSG00000006074	NA	NA	NA
A_23_P373017	chr17:34415949-34415891	ENSG00000006075	NA	NA	NA
A_23_P396626	chr17:35878116-35878057	ENSG00000006114	NA	NA	NA
A_23_P351695	chr17:35901158-35901099	ENSG00000006114	NA	NA	NA
A_23_P207541	chr17:35875336-35875277	ENSG00000006114	NA	NA	NA
A_23_P66180	chr16:24373365-24373424	ENSG00000006116	CACNG3	10368	protein_coding
A_23_P24716	chr11:60704552-60704611	ENSG00000006118	TMEM132A	54972	protein_coding
A_24_P253827	chr17:34052738-34052797	ENSG00000006125	AP2B1	163	protein_coding
A_23_P55149	chr17:34050768-34050827	ENSG00000006125	AP2B1	163	protein_coding
A_23_P215283	chr7:97363575-97365616	ENSG00000006128	TAC1	6863	protein_coding
A_24_P38290	chr7:97369454-97369513	ENSG00000006128	TAC1	6863	protein_coding
A_23_P140978	chr16:3340525-3340584	ENSG00000006194	ZNF263	10127	protein_coding
A_24_P589427	chr16:3342990-3342931	ENSG00000006194	ZNF263	10127	protein_coding
A_23_P37727	chr16:57418865-57418924	ENSG00000006210	CX3CL1	6376	protein_coding
A_24_P390495	chr16:57418025-57418084	ENSG00000006210	CX3CL1	6376	protein_coding
A_24_P381901	chr16:57416696-57416755	ENSG00000006210	CX3CL1	6376	protein_coding
A_23_P118633	chr17:48632985-48633044	ENSG00000006282	SPATA20	64847	protein_coding
A_24_P401686	chr17:48655549-48655608	ENSG00000006283	CACNA1G	8913	protein_coding
A_23_P107247	chr17:48704244-48704303	ENSG00000006283	CACNA1G	8913	protein_coding
A_23_P49338	chr16:3072180-3072239	ENSG00000006327	TNFRSF12A	51330	protein_coding
A_23_P353541	chr7:96637112-96639135	ENSG00000006377	DLX6	1750	protein_coding
A_32_P147678	chr14:71189541-71189482	ENSG00000006432	MAP3K9	4293	protein_coding
A_24_P192262	chr7:39747399-39747458	ENSG00000006451	RALA	5898	protein_coding
A_23_P168479	chr7:39736325-39736384	ENSG00000006451	RALA	5898	protein_coding
A_23_P168470	chr7:97941547-97941488	ENSG00000006453	BAIAP2L1	55971	protein_coding
A_23_P359897	chr7:139785105-139785046	ENSG00000006459	KDM7A	80853	protein_coding
A_23_P134366	chr7:13935514-13935455	ENSG00000006468	ETV1	2115	protein_coding
A_32_P78491	chr7:13931096-13931037	ENSG00000006468	ETV1	2115	protein_coding
A_24_P917729	chr7:141293400-141293459	ENSG00000006530	AGK	55750	protein_coding
A_24_P218688	chr11:67795665-67795724	ENSG00000006534	ALDH3B1	221	protein_coding
A_32_P225263	chr11:67787160-67787219	ENSG00000006534	ALDH3B1	221	protein_coding
A_24_P673968	chr1:55245446-55245387	ENSG00000006555	TTC22	55001	protein_coding
A_24_P11436	chr1:55251801-55251742	ENSG00000006555	TTC22	55001	protein_coding
A_24_P175176	chr7:77586179-77586238	ENSG00000006576	PHTF2	57157	protein_coding
A_32_P409919	chr7:77552036-77552095	ENSG00000006576	PHTF2	57157	protein_coding
A_24_P323944	chr7:77558575-77558634	ENSG00000006576	PHTF2	57157	protein_coding
A_32_P145490	chr7:077584651-077584592	ENSG00000006576	PHTF2	57157	protein_coding
A_23_P215484	chr7:75401219-75399061	ENSG00000006606	CCL26	10344	protein_coding
A_24_P12573	chr7:75399041-75398982	ENSG00000006606	CCL26	10344	protein_coding
A_24_P268474	chr2:242428223-242428164	ENSG00000006607	FARP2	9855	protein_coding
A_24_P76759	chr2:242405348-242405407	ENSG00000006607	FARP2	9855	protein_coding
A_24_P59485	chr2:242383670-242383729	ENSG00000006607	FARP2	9855	protein_coding
A_23_P90855	chr2:242432371-242432430	ENSG00000006607	FARP2	9855	protein_coding
A_24_P927936	chr2:242391855-242391914	ENSG00000006607	FARP2	9855	protein_coding
A_23_P116430	chr11:17522614-17519776	ENSG00000006611	USH1C	10083	protein_coding
A_23_P127818	chr11:17536795-17536736	ENSG00000006611	USH1C	10083	protein_coding
A_23_P42695	chr7:30536417-30536358	ENSG00000006625	GGCT	79017	protein_coding
A_24_P943358	chr7:87538554-87538613	ENSG00000006634	DBF4	10926	protein_coding
A_23_P254612	chr7:87537321-87537380	ENSG00000006634	DBF4	10926	protein_coding
A_23_P355471	chr19:3599878-3595904	ENSG00000006638	TBXA2R	6915	protein_coding
A_23_P90357	chr19:3594819-3594760	ENSG00000006638	TBXA2R	6915	protein_coding
A_24_P137897	chr7:112115517-112115576	ENSG00000006652	IFRD1	3475	protein_coding
A_23_P251825	chr7:112112351-112112825	ENSG00000006652	IFRD1	3475	protein_coding
A_23_P153662	chr19:40197846-40197905	ENSG00000006659	LGALS14	56891	protein_coding
A_23_P55123	chr17:14111229-14111288	ENSG00000006695	COX10	1352	protein_coding
A_23_P123015	chr7:73948458-73948517	ENSG00000006704	GTF2IRD1	9569	protein_coding
A_23_P123018	chr7:73949051-73949110	ENSG00000006704	GTF2IRD1	9569	protein_coding
A_23_P257694	chr7:73954263-73959108	ENSG00000006704	GTF2IRD1	9569	protein_coding
A_23_P111621	chr7:74016831-74016890	ENSG00000006704	GTF2IRD1	9569	protein_coding
A_24_P216087	chr19:39876843-39876784	ENSG00000006712	PAF1	54623	protein_coding
A_23_P142272	chr19:39879096-39879037	ENSG00000006712	PAF1	54623	protein_coding
A_23_P320684	chr7:38765730-38765671	ENSG00000006715	VPS41	27072	protein_coding
A_23_P215318	chr7:38763832-38763773	ENSG00000006715	VPS41	27072	protein_coding
A_32_P25823	chr7:38763014-38762955	ENSG00000006715	VPS41	27072	protein_coding
A_24_P942385	chr17:12891969-12892028	ENSG00000006740	ARHGAP44	9912	protein_coding
A_23_P26854	chr17:12894799-12894858	ENSG00000006740	ARHGAP44	9912	protein_coding
A_23_P38262	chr17:12895913-12895854	ENSG00000006744	ELAC2	60528	protein_coding
A_23_P38254	chr17:12895771-12895712	ENSG00000006744	ELAC2	60528	protein_coding
A_24_P133822	chr17:12897013-12896313	ENSG00000006744	ELAC2	60528	protein_coding
A_32_P109933	chr7:12624511-12624452	ENSG00000006747	SCIN	85477	protein_coding
A_23_P157136	chr7:12692343-12692402	ENSG00000006747	SCIN	85477	protein_coding
A_23_P357760	chrX:2832639-2832580	ENSG00000006756	ARSD	414	protein_coding
A_23_P217712	chrX:2835852-2833682	ENSG00000006756	ARSD	414	protein_coding
A_23_P159797	chrX:7870065-7868835	ENSG00000006757	PNPLA4	8228	protein_coding
A_24_P943815	chrX:7867118-7867059	ENSG00000006757	PNPLA4	8228	protein_coding
A_23_P89334	chr17:10206734-10206573	ENSG00000006788	MYH13	8735	protein_coding
A_24_P13376	chr12:1890079-1890138	ENSG00000006831	ADIPOR2	79602	protein_coding
A_23_P48121	chr12:1897392-1897451	ENSG00000006831	ADIPOR2	79602	protein_coding
A_23_P110643	chr5:133643945-133643886	ENSG00000006837	CDKL3	51265	protein_coding
A_23_P357316	chr2:158992208-158992267	ENSG00000007001	UPP2	151531	protein_coding
A_24_P339126	chr16:2871000-2871059	ENSG00000007038	PRSS21	10942	protein_coding
A_23_P129602	chr16:2871094-2871409	ENSG00000007038	PRSS21	10942	protein_coding
A_24_P187817	chr19:45791089-45791148	ENSG00000007047	MARK4	57787	protein_coding
A_24_P925673	chr19:045799597-045799538	ENSG00000007047	MARK4	57787	protein_coding
A_23_P107714	chr19:45806682-45806741	ENSG00000007047	MARK4	57787	protein_coding
A_23_P258463	chr4:15970716-15970657	ENSG00000007062	PROM1	8842	protein_coding
A_23_P342118	chr19:18054476-18054535	ENSG00000007080	CCDC124	115098	protein_coding
A_23_P78595	chr19:42083633-42083692	ENSG00000007129	CEACAM21	90273	protein_coding
A_32_P148627	chr19:42056714-42056773	ENSG00000007129	CEACAM21	90273	protein_coding
A_24_P113086	chr17:2576002-2577363	ENSG00000007168	PAFAH1B1	5048	protein_coding
A_24_P356406	chr17:2588767-2588826	ENSG00000007168	PAFAH1B1	5048	protein_coding
A_23_P118888	chr17:2583481-2583540	ENSG00000007168	PAFAH1B1	5048	protein_coding
A_23_P502464	chr17:26083921-26083862	ENSG00000007171	NOS2	4843	protein_coding
A_23_P164068	chr17:11872883-11872942	ENSG00000007174	DNAH9	1770	protein_coding
A_23_P207614	chr17:26941993-26941934	ENSG00000007202	KIAA0100	9703	protein_coding
